Links,DocumentID,From_PDF
#main,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
https://go.microsoft.com/fwlink/p/?LinkID=2092881 ,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
https://learn.microsoft.com/en-us/lifecycle/faq/internet-explorer-microsoft-edge,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
https://www.microsoft.com,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
https://github.com/MicrosoftDocs/windows-itpro-docs/blob/public/windows/security/operating-system-security/network-security/windows-firewall/configure.md,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
https://github.com/MicrosoftDocs/windows-itpro-docs/blob/public/windows/security/operating-system-security/network-security/windows-firewall/configure.md,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
https://learn.microsoft.com/windows/release-health/supported-versions-windows-client,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
https://learn.microsoft.com/windows/release-health/supported-versions-windows-client,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
https://learn.microsoft.com/windows/release-health/windows-server-release-info,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
https://learn.microsoft.com/windows/release-health/windows-server-release-info,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
https://learn.microsoft.com/windows/release-health/windows-server-release-info,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
/en-us/previous-versions/windows/it-pro/windows-server-2008-r2-and-2008/cc754740(v=ws.11),https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
#create-an-inbound-program-or-service-rule,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
#create-an-inbound-port-rule,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
#create-an-inbound-port-rule,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
#create-an-outbound-port-rule,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
https://support.microsoft.com/windows/send-feedback-to-microsoft-with-the-feedback-hub-app-f59187f8-8739-22d6-ba93-f66612949332,https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,threat-report-24th-march-2023.pdf
