Links,DocumentID,From_PDF
/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
https://www.apache.org/foundation/contributing.html,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
#essentials,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/download.cgi,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/ABOUT_APACHE.html,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
https://www.apache.org/licenses/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
https://wiki.apache.org/httpd/FAQ,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/security_report.html,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
#source-repositories,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/dev/devnotes.html,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
https://svn.apache.org/viewvc/httpd/httpd/trunk/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
https://svn.apache.org/viewvc/httpd/httpd/branches/2.4.x/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/docs/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
#documentation,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/docs/2.4/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/docs/trunk/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
https://wiki.apache.org/httpd/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/contribute/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
#get-involved,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/lists.html,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/bug_report.html,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/dev/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/support.html,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
#subprojects,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/docs-project/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/test/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/test/flood/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
/apreq/,https://httpd.apache.org/security/vulnerabilities_24.html,threat-report-24th-march-2023.pdf
