Links,DocumentID,From_PDF
https://www.sumologic.com/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/pricing/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://service.sumologic.com/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/platform/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/log-analytics/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/cloud-infrastructure-security/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/audit-compliance/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/cloud-siem/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/applications/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/guides/machine-data-analytics,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/guides/opentelemetry/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/cloud-soar/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/security/platform-security/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/observability/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/security/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/case-study/infor/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/log-management/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/infrastructure-monitoring/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/application-monitoring/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/aws-monitoring/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/kubernetes-monitoring/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/security-analyst-tools/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/threat-detection-investigation/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/application/pci-compliance-analyzer/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/security-data-lake/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/cloud-soar/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/modernize-security-operations/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/brief/accelerate-your-sdlc-with-devsecops/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/cloud-migration/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/application-modernization/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/digital-customer-experience/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/tool-consolidation/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/compare/?vs=splunk,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/compare/?vs=datadog,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/compare/?vs=new-relic,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/compare/?vs=elastic-cloud,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/compare/?vs=coralogix,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/pricing/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://help.sumologic.com/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://help.sumologic.com/docs/api,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://github.com/SumoLogic,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://support.sumologic.com/support/s/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/applications/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://help.sumologic.com/docs/get-started/onboarding,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://help.sumologic.com/release-notes-developer/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/security-response-center/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/blog/sumo-logic-ahead-of-the-pack-in-a-consolidating-market/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/blog/cyber-attackers-jackpot-vulnerabilities/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/blog/sec-cybersecurity-disclosure-rules/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/infographic/cloud-migration/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/resources/blog/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/resources/guides/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/customers/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/company/newsroom/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/demos/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/resources/webinar/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/events/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/partners/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://support.sumologic.com/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/learn/training/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/learn/training/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://help.sumologic.com/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/applications/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/guides/opentelemetry/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://github.com/sumologic,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://help.sumologic.com/docs/send-data/collect-from-other-data-sources/sumo-logic-open-source-projects/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/company/about-us/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/company/careers/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/company/leadership-team/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/partners/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/company/newsroom/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/contact-us/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://support.sumologic.com/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://service.sumologic.com/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/demos/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/request-demo,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/sign-up/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/request-cloud-soar-demo/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/case-study/uc-davis/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
#advanced,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
#management,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
#sops,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
#customizable,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
#framework,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/blog/overwhelmed-why-soar-solutions-are-a-game-changer/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/blog/want-to-improve-collaboration-and-reduce-incident-response-time-try-cloud-soar-war-room/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/guides/siem/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/blog/how-to-implement-cyber-security-automation-in-secops-with-soar-7-simple-steps/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/blog/how-smart-are-your-security-program-kpis/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/brief/accelerate-secops-using-cloud-soar-open-integration-framework/ ,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/blog/no-code-vs-low-code-and-near-no-code-security-automation/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/webinar/top-3-soar-use-cases/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/brief/soar-101-a-z-guide/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/glossary/soar/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/blog/soar-vs-siem/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/solutions/cloud-siem/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/glossary/open-integration-framework-oif/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/blog/quickest-response-not-best-cybersecurity/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/blog/supervised-active-intelligence-the-next-level-of-security-automation/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/request-cloud-soar-demo/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/company/about-us/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/continuous-intelligence-platform/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/company/careers/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/company/leadership-team/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/company/newsroom/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/partner/amazon-web-services/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/msp-partners/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/technology-partners/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/soar-integration/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/partners/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/contact-us/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/resources/blog/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/customers/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/live-demo/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/resources/webinar/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/events/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/glossary/aws-monitoring/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/glossary/application-performance-monitoring/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/glossary/infrastructure-monitoring/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/glossary/kubernetes-monitoring/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/glossary/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/guides/siem/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/guides/opentelemetry/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/guides/log-analytics/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/guides/log-management-best-practices/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/resources/guides/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/platform/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/log-analytics/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/cloud-infrastructure-security/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/audit-compliance/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/solutions/cloud-siem/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/pricing/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/whats-new/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/compare/sumo-logic-vs-splunk/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/compare/sumo-logic-vs-datadog/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/compare/sumo-logic-vs-new-relic/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/compare/?vs=elastic-cloud,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://www.sumologic.com/compare/?vs=coralogix,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://help.sumologic.com/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://support.sumologic.com/support/s/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://support.sumologic.com/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/learn/training/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
https://status.sumologic.com/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/application/aws-cloudtrail/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/application/s3/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/application/apache/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/application/kubernetes/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
/application/linux/,https://www.dflabs.com/wp-content/uploads/2018/08/Survey_SOC-2018_DFLabs.pdf,threat-report-24th-march-2023.pdf
