Links,DocumentID,From_PDF
/,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
https://twitter.com/lazy_daemon,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
https://www.linkedin.com/in/robert-giczewski-20182013/,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
https://github.com/lazydaemon,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/about/,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/projects/,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/feed.xml,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/category/malware_analysis,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/category/reverse_engineering,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
https://malware.love/malware_analysis/reverse_engineering/2023/02/12/analyzing-truebot-packer.html,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
https://malware.love/malware_analysis/reverse_engineering/2023/02/18/analyzing-truebot-static-unpacking.html,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
https://bazaar.abuse.ch/sample/c042ad2947caf4449295a51f9d640d722b5a6ec6957523ebf68cddb87ef3545c/,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_graph_overview.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_core_c2_decryption.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_create_mutex.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_schtsk_via_com.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_different_clsids.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_schtsk_atfer_logon.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_check_unwanted_processes.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_guid_processes_string.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_send_http_request.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_get_dnsdomain_and_hostname.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_os_versions.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_data_string_for_c2.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
/static/img/truebot_c2_commands.png,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
https://twitter.com/share,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
https://malware.love/malware_analysis/reverse_engineering/config_extraction/2023/07/13/truebot-config-extractor.html,https://malware.love/malware_analysis/reverse_engineering/2023/03/31/analyzing-truebot-capabilities.html,threat-report-24th-march-2023.pdf
