Links,DocumentID,From_PDF
/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/about/new_to_cwe.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/scoring/lists/2021_CWE_MIHW.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/top25/,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/about/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/about/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/about/new_to_cwe.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/about/user_stories.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/about/history.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/about/documents.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/about/faq.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/documents/glossary/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/compatible/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/downloads.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/reports.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/pdfs.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/archive.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/guidance.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/guidance.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/quick_tips.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/mapping_examples.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/common_terms_cheatsheet.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/scoring/index.html#top_n_lists,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/top25/,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/scoring/lists/2021_CWE_MIHW.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/scoring/index.html#other_scoring_methodologies,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/community/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/community/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/community/working_groups.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/community/board.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/community/board.html#boardarchives,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/community/registration.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
https://www.mail-archive.com/cwe-research-list@mitre.org/,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/community/submissions/guidelines.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/news/,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/news/,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
https://twitter.com/CweCapec,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
https://mastodon.social/@CWE_Program,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
https://www.linkedin.com/showcase/cve-cwe-capec,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
https://www.youtube.com/channel/UCpY9VIpRmFK4ebD6orssifA,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/news/podcast.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
https://medium.com/@CWE_CAPEC,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/news/archives/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/find/index.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
javascript:styledPopupClose();,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('416_Description');,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('416_Extended_Description');,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('416_Alternate_Terms');,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('416_Relationships');,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('416_1000_relevant_table');,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/definitions/825.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/definitions/415.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/definitions/364.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/definitions/1265.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/definitions/120.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
/data/definitions/123.html,https://cwe.mitre.org/data/definitions/416.html,threat-report-24th-march-2023.pdf
