Links,DocumentID,From_PDF
bitcoin:3E8ociqZa9mZUSwGdSmAEMAoAxBK3FNDcd,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/bitcoin-for-individuals,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/bitcoin-for-businesses,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
https://developer.bitcoin.org/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/getting-started,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/how-it-works,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/bitcoin-paper,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/resources,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/exchanges,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/community,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
https://developer.bitcoin.org/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/vocabulary,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/events,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/bitcoin-core/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/innovation,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/support-bitcoin,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/buy,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/full-node,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/development,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/faq,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/id/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/ca/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/da/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/de/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/en/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/es/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/fr/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/it/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/hu/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/nl/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/pl/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/pt_BR/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/ro/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/sl/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/sr/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/sv/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/tr/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/el/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/bg/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/ru/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/uk/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/hy/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/ar/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
/fa/,https://bitcoin.org/en,threat-report-24th-march-2023.pdf
