Links,DocumentID,From_PDF
#main-content-marker,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/about/team,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/about,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/about/cclicenses/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/blog,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/about/support-cc/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/?s,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://www.classy.org/give/313412/#!/donation/checkout?c_src=website&c_src2=top-of-page-banner,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://network.creativecommons.org/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://certificate.creativecommons.org/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://summit.creativecommons.org/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/choose,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://search.creativecommons.org/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://opensource.creativecommons.org/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://www.classy.org/give/313412/#!/donation/checkout?c_src=website&c_src2=temp-banner,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
legalcode.en,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
#ref-appropriate-credit,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
#ref-indicate-changes,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
#ref-technological-measures,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
#ref-exception-or-limitation,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
#ref-publicity-privacy-or-moral-rights,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/about/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/share-your-work/cclicenses/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/donate/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/choose/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/licenses/list.en,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/publicdomain/list.en,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
#src-appropriate-credit,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://wiki.creativecommons.org/License_Versions#Detailed_attribution_comparison_chart,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
#src-indicate-changes,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://wiki.creativecommons.org/Best_practices_for_attribution#This_is_a_good_attribution_for_material_you_modified_slightly,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://wiki.creativecommons.org/License_Versions#Modifications_and_adaptations_must_be_marked_as_such ,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
#src-technological-measures,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://wiki.creativecommons.org/License_Versions#Application_of_effective_technological_measures_by_users_of_CC-licensed_works_prohibited,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
#src-exception-or-limitation,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://wiki.creativecommons.org/Frequently_Asked_Questions#Do_Creative_Commons_licenses_affect_exceptions_and_limitations_to_copyright.2C_such_as_fair_dealing_and_fair_use.3F,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
#src-publicity-privacy-or-moral-rights,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://wiki.creativecommons.org/Considerations_for_licensors_and_licensees,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/about/contact,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://mail.creativecommons.org/subscribe,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/privacy,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/policies,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/terms,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
mailto:info@creativecommons.org,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
tel:+14154296753,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://twitter.com/creativecommons,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://mastodon.social/@creativecommons,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://www.facebook.com/creativecommons,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://www.linkedin.com/company/creative-commons/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://www.classy.org/give/313412/#!/donation/checkout?c_src=website&c_src2=top-of-page-banner,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/policies/#license,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
https://fontawesome.com/,https://creativecommons.org/licenses/by/4.0,threat-report-24th-march-2023.pdf
