Links,DocumentID,From_PDF
http://dkim.org/,http://www.dkim.org,threat-report-24th-march-2023.pdf
index.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
index.html#docs,http://www.dkim.org,threat-report-24th-march-2023.pdf
info/dkim-faq.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
#introduction,http://www.dkim.org,threat-report-24th-march-2023.pdf
#news,http://www.dkim.org,threat-report-24th-march-2023.pdf
#specifications,http://www.dkim.org,threat-report-24th-march-2023.pdf
#deployment,http://www.dkim.org,threat-report-24th-march-2023.pdf
#enhancement,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://dkim.org/#sign,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://dkim.org/deploy/index.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://dkim.org/ietf-dkim.htm,http://www.dkim.org,threat-report-24th-march-2023.pdf
ietf-dkim.htm#published,http://www.dkim.org,threat-report-24th-march-2023.pdf
info/DKIM-teaser-03.pdf,http://www.dkim.org,threat-report-24th-march-2023.pdf
Misc/Press%20Release%20July-2005.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
info/DKIM-teaser-03.ppt,http://www.dkim.org,threat-report-24th-march-2023.pdf
info/dkim-faq.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
info/dkim-faq.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://en.wikipedia.org/wiki/DomainKeys_Identified_Mail,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://weblog.johnlevine.com/Email/threemyths.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
news.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
#overview,http://www.dkim.org,threat-report-24th-march-2023.pdf
#ddo,http://www.dkim.org,threat-report-24th-march-2023.pdf
ietf-dkim.htm,http://www.dkim.org,threat-report-24th-march-2023.pdf
#deployment,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://escert.upc.edu/,http://www.dkim.org,threat-report-24th-march-2023.pdf
Misc/DKIM-perform-en.pdf,http://www.dkim.org,threat-report-24th-march-2023.pdf
Misc/Press%20Release%20July-2005.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
Misc/DKIM-perform.odp,http://www.dkim.org,threat-report-24th-march-2023.pdf
press.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
#,http://www.dkim.org,threat-report-24th-march-2023.pdf
specs/rfc5585.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
info/DKIM-teaser.pdf,http://www.dkim.org,threat-report-24th-march-2023.pdf
specs/rfc5585.pdf,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://tools.ietf.org/html/rfc5585,http://www.dkim.org,threat-report-24th-march-2023.pdf
specs/draft-ietf-dkim-overview-10.pdf,http://www.dkim.org,threat-report-24th-march-2023.pdf
ietf-dkim.htm#dkimsig,http://www.dkim.org,threat-report-24th-march-2023.pdf
specs/draft-ietf-dkim-deployment-11.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
https://datatracker.ietf.org/doc/rfc5863/,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://www.rfc-editor.org/rfc/rfc5617.txt,http://www.dkim.org,threat-report-24th-march-2023.pdf
#,http://www.dkim.org,threat-report-24th-march-2023.pdf
deploy/index.html,http://www.dkim.org,threat-report-24th-march-2023.pdf
deploy/consult.htm,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://mipassoc.org/mailman/listinfo/dkim-ops,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://mipassoc.org/mailman/listinfo/dkim-dev,http://www.dkim.org,threat-report-24th-march-2023.pdf
irc://irc.efnet.org/#dkim,http://www.dkim.org,threat-report-24th-march-2023.pdf
#,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://datatracker.ietf.org/wg/repute/charter/,http://www.dkim.org,threat-report-24th-march-2023.pdf
info/DKIM-teaser.pdf,http://www.dkim.org,threat-report-24th-march-2023.pdf
specs/draft-kucherawy-dkim-reporting.txt,http://www.dkim.org,threat-report-24th-march-2023.pdf
info/DKIM-teaser.pdf,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://mipassoc.org/arf/,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://www.ietf.org/internet-drafts/draft-kucherawy-sender-auth-header-16.txt,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://mipassoc.org/mailman/listinfo/mail-vet-discuss,http://www.dkim.org,threat-report-24th-march-2023.pdf
info/DKIM-teaser.pdf,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://www.domain-assurance.org/protocol-overview.phtml,http://www.dkim.org,threat-report-24th-march-2023.pdf
http://antispam.yahoo.com/domainkeys,http://www.dkim.org,threat-report-24th-march-2023.pdf
https://datatracker.ietf.org/public/ipr_detail_show.cgi?&ipr_id=693,http://www.dkim.org,threat-report-24th-march-2023.pdf
#,http://www.dkim.org,threat-report-24th-march-2023.pdf
mailto:webmaster@mipassoc.org,http://www.dkim.org,threat-report-24th-march-2023.pdf
