Links,DocumentID,From_PDF
../..,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
./,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
https://github.com/apache/logging-log4j2,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
../../,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
https://www.apache.org/,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
https://cwiki.apache.org/confluence/display/LOGGING/Log4j,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
download.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
support.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
maven-artifacts.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
release-notes.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
faq.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
performance.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
articles.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
security.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
security.html#support,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
security.html#reporting,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
security.html#policy,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
security.html#vdr,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
security.html#vulnerabilities,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/index.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/architecture.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/api-separation.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/migration.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/api.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
../kotlin,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
../scala,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/configuration.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/usage.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/webapp.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/lookups.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/appenders.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/layouts.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/filters.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/async.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/garbagefree.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/jmx.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/logsep.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/extending.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/plugins.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/customconfig.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
manual/customloglevels.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
guidelines.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
javastyle.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
log4j-api.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
log4j-jcl.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
log4j-1.2-api.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
log4j-slf4j-impl.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
log4j-jul.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
log4j-jpl.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
log4j-to-slf4j.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
log4j-flume-ng.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
log4j-taglib.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
log4j-jmx-gui.html,https://logging.apache.org/log4j/2.x,threat-report-24th-march-2023.pdf
