Links,DocumentID,From_PDF
/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2023/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2022/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2021/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2020/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2019/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2018/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2017/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2016/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2015/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2014/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2013/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2012/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2011/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2010/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2009/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2008/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/2007/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/exploit/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/blog/office/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
https://sensepost.com/blog/2016/powershell-c-sharp-and-dde-the-power-within/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
http://pwndizzle.blogspot.com.es/2017/03/office-document-macros-ole-actions-dde.html,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/img/pages/blog/2017/macro-less-code-exec-in-msword/Screen-Shot-2017-08-23-at-13.49.11.png,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/img/pages/blog/2017/macro-less-code-exec-in-msword/Screen-Shot-2017-08-23-at-13.49.22.png,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/img/pages/blog/2017/macro-less-code-exec-in-msword/Screen-Shot-2017-08-23-at-13.49.39.png,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/img/pages/blog/2017/macro-less-code-exec-in-msword/Screen-Shot-2017-08-23-at-13.50.01.png,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/img/pages/blog/2017/macro-less-code-exec-in-msword/Screen-Shot-2017-08-23-at-13.50.36.png,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/img/pages/blog/2017/macro-less-code-exec-in-msword/Screen-Shot-2017-08-23-at-13.50.44.png,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/img/pages/blog/2017/macro-less-code-exec-in-msword/Screen-Shot-2017-08-23-at-13.50.57.png,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/img/pages/blog/2017/macro-less-code-exec-in-msword/Screen-Shot-2017-08-23-at-13.51.15.png,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/img/pages/blog/2017/macro-less-code-exec-in-msword/ScreenShot2017-08-23at14.32.20.png,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/img/pages/blog/2017/macro-less-code-exec-in-msword/WordDDE.mp4?_=2,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/img/pages/blog/2017/macro-less-code-exec-in-msword/Screenshot-from-2017-08-23-16-59-17.png,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
https://sensepost.com/blog/2016/powershell-c-sharp-and-dde-the-power-within/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
http://pwndizzle.blogspot.com.es/2017/03/office-document-macros-ole-actions-dde.html,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
mailto:sensepost@orangecyberdefense.com,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
https://orangecyberdefense.com/global/general-terms-and-conditions/,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
tel:+27124600880,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
tel:+442070781360,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
tel:+27124600880,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
//www.linkedin.com/company/sensepost,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
/rss.xml,https://sensepost.com/blog/2017/macro-less-code-exec-in-msword,threat-report-24th-march-2023.pdf
