Links,DocumentID,From_PDF
/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/new_to_capec.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/board.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/glossary.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/use_cases.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/resources.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/documents.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/faq.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/new_to_capec.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/data/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/data/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/data/downloads.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/data/reports.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/data/archive.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/community/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/community/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/community/citations.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/community/usage.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/community/related.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/community/registration.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://www.mail-archive.com/capec-research-list@mitre.org/,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/documents.html#capec_user_summit,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/news/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/news/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://twitter.com/CweCapec,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://www.linkedin.com/showcase/cve-cwe-capec,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://medium.com/@CWE_CAPEC,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://outofbounds.buzzsprout.com/,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://www.youtube.com/channel/UCpY9VIpRmFK4ebD6orssifA,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/news/archives/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/find/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/data/definitions/1000.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/data/definitions/3000.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/data/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/new_to_capec.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://cwe.mitre.org/,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/news/index.html#march_13_2023_Thank_You_for_Responding_to_CAPEC_Stakeholder_Survey,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/news/index.html#january_24_2023_CAPEC_List_Version_3.9_Now_Available,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://medium.com/@CWE_CAPEC/community-actively-working-to-enhance-cwes-ics-ot-coverage-1b4f7bf0a6dd,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://youtu.be/MdMm42bjdGU,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/news/index.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://www.mitre.org,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/sitemap.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/termsofuse.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
#,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/cookie_notice.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://cwe.mitre.org/about/privacy_policy.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
mailto:capec@mitre.org,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://twitter.com/CweCapec,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://www.linkedin.com/showcase/cve-cwe-capec,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://www.youtube.com/channel/UCpY9VIpRmFK4ebD6orssifA,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://outofbounds.buzzsprout.com/,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://medium.com/@CWE_CAPEC,http://capec.mitre.org,threat-report-24th-march-2023.pdf
/about/termsofuse.html,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://www.dhs.gov/,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://www.dhs.gov/cisa/cybersecurity-division,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://www.dhs.gov/science-and-technology/hssedi,http://capec.mitre.org,threat-report-24th-march-2023.pdf
http://www.mitre.org/,http://capec.mitre.org,threat-report-24th-march-2023.pdf
https://www.dhs.gov/science-and-technology/hssedi,http://capec.mitre.org,threat-report-24th-march-2023.pdf
