Links,DocumentID,From_PDF
/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/about/new_to_cwe.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/scoring/lists/2021_CWE_MIHW.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/top25/,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/data/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/about/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/about/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/about/new_to_cwe.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/about/user_stories.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/about/history.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/about/documents.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/about/faq.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/documents/glossary/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/compatible/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/data/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/data/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/data/downloads.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/data/reports.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/data/pdfs.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/data/archive.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/guidance.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/guidance.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/quick_tips.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/mapping_examples.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/common_terms_cheatsheet.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/scoring/index.html#top_n_lists,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/top25/,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/scoring/lists/2021_CWE_MIHW.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/scoring/index.html#other_scoring_methodologies,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/community/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/community/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/community/working_groups.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/community/board.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/community/board.html#boardarchives,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/community/registration.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
https://www.mail-archive.com/cwe-research-list@mitre.org/,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/community/submissions/guidelines.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/news/,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/news/,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
https://twitter.com/CweCapec,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
https://mastodon.social/@CWE_Program,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
https://www.linkedin.com/showcase/cve-cwe-capec,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
https://www.youtube.com/channel/UCpY9VIpRmFK4ebD6orssifA,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/news/podcast.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
https://medium.com/@CWE_CAPEC,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/news/archives/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/find/index.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
javascript:styledPopupClose();,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('121_Description');,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('121_Alternate_Terms');,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('121_Relationships');,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('121_1000_relevant_table');,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/data/definitions/787.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
/data/definitions/788.html,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('121_Background_Details');,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('121_Modes_Of_Introduction');,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
javascript:toggleblocksOC('121_Applicable_Platforms');,http://cwe.mitre.org/data/definitions/121.html,threat-report-24th-march-2023.pdf
