Links,DocumentID,From_PDF
#_introduction,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_funding_and_support,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_misp_taxonomies,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_cert_xlm,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_dfrlab_dichotomies_of_disinformation,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_dml,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_grayzone,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_pap,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_access_method,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_accessnow,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_action_taken,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_admiralty_scale,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_adversary,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_ais_marking,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_analyst_assessment,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_approved_category_of_action,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_artificial_satellites,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_aviation,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_binary_class,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_cccs,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_circl,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_cnsd,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_coa,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_collaborative_intelligence,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_common_taxonomy,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_copine_scale,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_course_of_action,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_crowdsec,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_cryptocurrency_threat,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_csirt_americas,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_csirt_case_classification,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_cssa,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_cti,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_current_event,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_cyber_threat_framework,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_cycat,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_cytomic_orion,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_dark_web,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_data_classification,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_dcso_sharing,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_ddos_2,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_de_vs,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_deception_2,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_dga,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_dhs_ciip_sectors,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_diamond_model,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_diamond_model_for_influence_operations,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
#_dni_ism,https://www.misp-project.org/taxonomies.html#_estimative_language.,threat-report-24th-march-2023.pdf
