Links,DocumentID,From_PDF
/index.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/about/new_to_cwe.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/scoring/lists/2021_CWE_MIHW.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/top25/,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/data/index.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/index.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/about/index.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/about/index.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/about/new_to_cwe.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/about/user_stories.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/about/history.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/about/documents.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/about/faq.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/documents/glossary/index.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/compatible/index.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/data/index.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/data/index.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/data/downloads.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/data/reports.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/data/pdfs.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/data/archive.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/guidance.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/guidance.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/quick_tips.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/mapping_examples.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
/documents/cwe_usage/common_terms_cheatsheet.html,https://cwe.mitre.org/data/definitions/74.html,threat-report-24th-march-2023.pdf
