Links,Page,DocumentID,LinkType
cisa.gov/tlp/.,0,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://www.cisa.gov/tlp/,0,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.microsoft.com/en-us/security/blog/2023/05/24/volt-typhoon-targets-us-critical-infrastructure-with-living-off-the-land-techniques/,0,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/sites/default/files/2023-05/aa23-144a.stix_.xml,3,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1090/,3,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1082/,4,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1059/003/,4,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1003/003/,4,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1047/,5,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
127.0.0.1,6,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
Secretsdump.py,7,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
0.0.0.0,7,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://www.cisa.gov/news-events/analysis-reports/ar21-134a,7,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/news-events/analysis-reports/ar21-134a,7,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1090/,7,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
0.0.0.0,8,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
wmiexec.py,9,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://attack.mitre.org/versions/v13/techniques/T1059/001/,9,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1033/,9,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1110/003/,9,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1110/,9,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
127.0.0.1,10,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://attack.mitre.org/versions/v13/techniques/T1016/,10,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1069/002/,10,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1069/001/,10,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1082/,10,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
127.0.0.1,11,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://attack.mitre.org/versions/v13/techniques/T1555/,11,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1003/,11,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
127.0.0.1,12,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://www.cisa.gov/cpg,12,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/cpg,12,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/sites/default/files/2023-03/CISA_CPG_REPORT_v1.0.1_FINAL.pdf,12,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/sites/default/files/2023-03/CISA_CPG_REPORT_v1.0.1_FINAL.pdf,12,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/sites/default/files/2023-03/CISA_CPG_REPORT_v1.0.1_FINAL.pdf,13,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1070/001/,13,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/uscert/ncas/alerts/aa21-259a.,14,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://www.ic3.gov/Media/News/2021/211117-2.pdf.,14,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://attack.mitre.org/versions/v13/techniques/T1190/,14,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/uscert/ncas/alerts/aa21-259a,14,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.ic3.gov/Media/News/2021/211117-2.pdf,14,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1505/003/,14,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1090/002/,14,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://media.defense.gov/2022/Oct/06/2003092365/-1/-1/0/Joint_CSA_Top_CVEs_Exploited_by_PRC_cyber_actors.PDF,14,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://media.defense.gov/2022/Oct/06/2003092365/-1/-1/0/Joint_CSA_Top_CVEs_Exploited_by_PRC_cyber_actors.PDF,14,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
0.0.0.0,15,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://attack.mitre.org/versions/v13/techniques/T1070/,15,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-277a,15,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-277a,15,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-025a,15,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-025a,15,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
127.0.0.1,16,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
0.0.0.0,16,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
127.0.0.1,17,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
github.com/fatedier/frp/cmd/frpc/sub.startService,19,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
github.com/fatedier/frp/cmd/frpc,19,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://www.microsoft.com/en-us/security/blog/2023/05/24/volt-typhoon-targets-us-critical-infrastructure-with-living-off-the-land-techniques/,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/plan/security-best-practices/best-practices-for-securing-active-directory,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://media.defense.gov/2022/Jun/22/2003021689/-1/-1/0/CSI_KEEPING_POWERSHELL_SECURITY_MEASURES_TO_USE_AND_EMBRACE_20220622.PDF,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/configure-the-windows-firewall-log,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/manage/component-updates/command-line-process-auditing,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows/win32/wmisdk/tracing-wmi-activity#obtaining-wmi-events-through-event-viewer,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-r2-and-2012/cc753343(v=ws.11),20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/security/compass/incident-response-playbook-password-spray,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows/win32/wmisdk/tracing-wmi-activity#,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows/win32/wmisdk/tracing-wmi-activity,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows/win32/wmisdk/tracing-wmi-,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/previous-versions/windows/it-,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows/win32/wmisdk/tracing-,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows-server/identity/ad-,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows/security/threat-,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://www.mandiant.com/resources/blog/greater-visibility,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://media.defense.gov/2022/Jun/22/2003021689/-1/-,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://www.microsoft.com/en-,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,textlink
https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/plan/security-best-practices/best-practices-for-securing-active-directory,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/plan/security-best-practices/best-practices-for-securing-active-directory,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.cisa.gov/china,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.microsoft.com/en-us/security/blog/2023/05/24/volt-typhoon-targets-us-critical-infrastructure-with-living-off-the-land-techniques/,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.microsoft.com/en-us/security/blog/2023/05/24/volt-typhoon-targets-us-critical-infrastructure-with-living-off-the-land-techniques/,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.microsoft.com/en-us/security/blog/2023/05/24/volt-typhoon-targets-us-critical-infrastructure-with-living-off-the-land-techniques/,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-r2-and-2012/cc753343(v=ws.11),20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-r2-and-2012/cc753343(v=ws.11),20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://media.defense.gov/2022/Jun/22/2003021689/-1/-1/0/CSI_KEEPING_POWERSHELL_SECURITY_MEASURES_TO_USE_AND_EMBRACE_20220622.PDF,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://media.defense.gov/2022/Jun/22/2003021689/-1/-1/0/CSI_KEEPING_POWERSHELL_SECURITY_MEASURES_TO_USE_AND_EMBRACE_20220622.PDF,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://media.defense.gov/2022/Jun/22/2003021689/-1/-1/0/CSI_KEEPING_POWERSHELL_SECURITY_MEASURES_TO_USE_AND_EMBRACE_20220622.PDF,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://www.mandiant.com/resources/blog/greater-visibility,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/manage/component-updates/command-line-process-auditing,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/manage/component-updates/command-line-process-auditing,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/best-practices-configuring,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/configure-the-windows-firewall-log,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-firewall/configure-the-windows-firewall-log,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/windows/win32/wmisdk/tracing-wmi-activity#obtaining-wmi-events-through-event-viewer,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/windows/win32/wmisdk/tracing-wmi-activity#obtaining-wmi-events-through-event-viewer,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
https://learn.microsoft.com/en-us/windows/win32/wmisdk/tracing-wmi-activity,20,CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1.PDF,hyperlink
