Links,Page,DocumentID,LinkType
www.enisa.europa.eu,1,ENISA Threat Landscape 2023.pdf,textlink
http://www.enisa.europa.eu/,1,ENISA Threat Landscape 2023.pdf,hyperlink
mailto:etl@enisa.europa.eu,1,ENISA Threat Landscape 2023.pdf,hyperlink
mailto:press@enisa.europa.eu,1,ENISA Threat Landscape 2023.pdf,hyperlink
https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/ad-hoc-working-group-cyber-threat-landscapes,1,ENISA Threat Landscape 2023.pdf,hyperlink
https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/ad-hoc-working-group-cyber-threat-landscapes,1,ENISA Threat Landscape 2023.pdf,hyperlink
https://creativecommons.org/licenses/by/4.0/).,2,ENISA Threat Landscape 2023.pdf,textlink
https://creativecommons.org/licenses/by/4.0/,2,ENISA Threat Landscape 2023.pdf,textlink
11.SUPPLY,3,ENISA Threat Landscape 2023.pdf,textlink
https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/ad-hoc-working-group-cyber-threat-landscapes.,6,ENISA Threat Landscape 2023.pdf,textlink
https://www.enisa.europa.eu/publications/enisa-threat-landscape-for-ransomware-attacks.,6,ENISA Threat Landscape 2023.pdf,textlink
https://www.enisa.europa.eu/publications/enisa-threat-landscape-methodology,6,ENISA Threat Landscape 2023.pdf,textlink
https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/ad-hoc-working-group-cyber-threat-landscapes,6,ENISA Threat Landscape 2023.pdf,hyperlink
https://www.enisa.europa.eu/publications/enisa-threat-landscape-methodology,6,ENISA Threat Landscape 2023.pdf,hyperlink
https://www.enisa.europa.eu/publications/enisa-threat-landscape-for-ransomware-attacks,6,ENISA Threat Landscape 2023.pdf,hyperlink
"https://www.upguard.com/blog/data-breach-vs-data-leak#:~:text=Simply%20put%2C%20a%20data%20leak,Apps%20data%20leak%20in%202021",7,ENISA Threat Landscape 2023.pdf,textlink
https://www.europol.europa.eu/activities-services/main-reports/internet-organised-crime-threat-assessment-iocta-2020.,7,ENISA Threat Landscape 2023.pdf,textlink
https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks.,7,ENISA Threat Landscape 2023.pdf,textlink
https://blog.f-secure.com/data-breach-and-data-leak-whats-the-difference,7,ENISA Threat Landscape 2023.pdf,textlink
https://www.europol.europa.eu/activities-services/main-reports/internet-,7,ENISA Threat Landscape 2023.pdf,textlink
