Links,Page,DocumentID,LinkType
fbi.gov/contact-us/field-offices.,0,aa23-353a-stopransomware-alphv-blackcat_0.pdf,textlink
stopransomware.gov,0,aa23-353a-stopransomware-alphv-blackcat_0.pdf,textlink
cisa.gov/tlp/.,0,aa23-353a-stopransomware-alphv-blackcat_0.pdf,textlink
http://www.fbi.gov/contact-us/field,0,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
mailto:report@cisa.dhs.gov,0,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
http://www.us-cert.gov/tlp/,0,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/stopransomware,0,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.ic3.gov/Media/News/2022/220420.pdf,0,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.ic3.gov/Media/News/2022/220420.pdf,0,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/known-exploited-vulnerabilities-catalog,0,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/known-exploited-vulnerabilities-catalog,0,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
Mega.nz,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,textlink
https://attack.mitre.org/versions/v14/matrices/enterprise/,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/news-events/news/best-practices-mitre-attckr-mapping,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://github.com/cisagov/Decider/,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/techniques/T1598/,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/techniques/T1586/,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/software/S0508/,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/software/S1063/,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/software/S0154/,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/techniques/T1557/,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/techniques/T1555/,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/software/S0183/,1,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/techniques/T1598/,2,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/techniques/T1586/,2,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/techniques/T1555/,2,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://attack.mitre.org/versions/v14/techniques/T1557/,2,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
mailto:report@cisa.gov,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
mailto:SOC@cisecurity.org,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.ic3.gov/,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.fbi.gov/contact-us/field-offices,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/cross-sector-cybersecurity-performance-goals,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/cross-sector-cybersecurity-performance-goals,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/sites/default/files/2023-06/Guide%20to%20Securing%20Remote%20Access%20Software_clean%20Final_508c.pdf,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/resources-tools/resources/cpg-report,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/sites/default/files/publications/fact-sheet-implementing-phishing-resistant-mfa-508c.pdf,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/resources-tools/resources/cpg-report,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/securebydesign,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/resources-tools/resources/secure-by-design-and-default,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
https://www.cisa.gov/resources-tools/resources/secure-by-design-and-default,3,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
Stopransomware.gov,4,aa23-353a-stopransomware-alphv-blackcat_0.pdf,textlink
https://www.cisa.gov/resources-tools/resources/cpg-report,4,aa23-353a-stopransomware-alphv-blackcat_0.pdf,hyperlink
