Links,Page,DocumentID,LinkType,Domain,valid_domain,valid_tld,http_request,http_code,mime_type,whois_info,tld
fbi.gov/contact-us/field-offices,0,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,textlink,fbi.gov,True,True,False,,,"({'domain_name': 'fbi.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 3, 0, 38), 'creation_date': datetime.datetime(1997, 10, 2, 1, 29, 23), 'expiration_date': datetime.datetime(2025, 9, 7, 4, 0), 'name_servers': ['ns-cloud-e1.googledomains.com', 'ns-cloud-e2.googledomains.com', 'ns-cloud-e3.googledomains.com', 'ns-cloud-e4.googledomains.com'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)",.gov
stopransomware.gov,0,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,textlink,stopransomware.gov,True,True,False,,,"({'domain_name': 'stopransomware.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 3, 26, 6), 'creation_date': datetime.datetime(2021, 6, 30, 14, 18, 8), 'expiration_date': datetime.datetime(2025, 6, 30, 14, 18, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)",.gov
cyber.gov.au,0,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,textlink,cyber.gov.au,True,,False,,,"({'domain_name': 'CYBER.GOV.AU', 'updated_date': datetime.datetime(2023, 9, 21, 22, 20, 13), 'registrar': 'Department of Finance', 'status': ['clientDeleteProhibited https://identitydigital.au/get-au/whois-status-codes#clientDeleteProhibited', 'clientUpdateProhibited https://identitydigital.au/get-au/whois-status-codes#clientUpdateProhibited', 'serverRenewProhibited https://identitydigital.au/get-au/whois-status-codes#serverRenewProhibited'], 'registrant_name': 'Australian Signals Directorate', 'registrant_contact_name': 'Web Master', 'name_servers': ['MIRA.NS.CLOUDFLARE.COM', 'NEWT.NS.CLOUDFLARE.COM']}, True)",
http://www.fbi.gov/contact-us/field,0,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,fbi.gov,True,True,False,403.0,,"({'domain_name': 'fbi.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 3, 0, 38), 'creation_date': datetime.datetime(1997, 10, 2, 1, 29, 23), 'expiration_date': datetime.datetime(2025, 9, 7, 4, 0), 'name_servers': ['ns-cloud-e1.googledomains.com', 'ns-cloud-e2.googledomains.com', 'ns-cloud-e3.googledomains.com', 'ns-cloud-e4.googledomains.com'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)",.gov
mailto:Report@cisa.dhs.gov,0,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,dhs.gov,True,True,False,,,"({'domain_name': 'dhs.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 58, 10), 'creation_date': datetime.datetime(2002, 7, 1, 4, 0), 'expiration_date': datetime.datetime(2025, 9, 30, 4, 0), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': 'IS2OSecurity@hq.dhs.gov', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)",.gov
https://www.cyber.gov.au/report-and-recover/report,0,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,cyber.gov.au,True,,False,,,"({'domain_name': 'CYBER.GOV.AU', 'updated_date': datetime.datetime(2023, 9, 21, 22, 20, 13), 'registrar': 'Department of Finance', 'status': ['clientDeleteProhibited https://identitydigital.au/get-au/whois-status-codes#clientDeleteProhibited', 'clientUpdateProhibited https://identitydigital.au/get-au/whois-status-codes#clientUpdateProhibited', 'serverRenewProhibited https://identitydigital.au/get-au/whois-status-codes#serverRenewProhibited'], 'registrant_name': 'Australian Signals Directorate', 'registrant_contact_name': 'Web Master', 'name_servers': ['MIRA.NS.CLOUDFLARE.COM', 'NEWT.NS.CLOUDFLARE.COM']}, True)",
https://www.cisa.gov/tlp,0,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,cisa.gov,True,True,True,200.0,text/html; charset=UTF-8,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)",.gov
https://www.cisa.gov/stopransomware,0,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,cisa.gov,True,True,True,200.0,text/html; charset=UTF-8,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)",.gov
https://www.cisa.gov/sites/default/files/2023-05/aa23-136a.stix_.xml,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,cisa.gov,True,True,True,200.0,text/xml,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)",.gov
https://attack.mitre.org/versions/v13/matrices/enterprise/,1,aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,hyperlink,mitre.org,True,True,True,200.0,text/html; charset=utf-8,"({'domain_name': 'mitre.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 9, 26, 18, 1, 11), 'creation_date': datetime.datetime(1985, 7, 10, 4, 0), 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'The MITRE Corporation', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'MA', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)",.org
