Links,Page,DocumentID,LinkType,Domain,valid_domain,valid_tld,http_request,http_code,mime_type,whois_info
sabotage.Computer,2,CERTFR-2022-CTI-004.pdf,textlink,sabotage.Computer,False,,,,,
https://www.ssi.gouv.fr/administration/guide/recommandations-relatives-a-lauthentification-multifacteur-et-aux-mots-de-passe/,3,CERTFR-2022-CTI-004.pdf,textlink,ssi.gouv.fr,True,,True,200,text/html; charset=UTF-8,"({'domain_name': 'ssi.gouv.fr', 'registrar': 'NAMESHIELD', 'creation_date': datetime.datetime(2000, 12, 7, 23, 0), 'expiration_date': datetime.datetime(2024, 10, 28, 8, 45, 1), 'name_servers': ['a.ns.developpement-durable.gouv.fr', 'b.ns.developpement-durable.gouv.fr', 'nsa.perf1.fr', 'nsb.perf1.com', 'nsc.perf1.com'], 'status': ['ACTIVE', 'active', 'associated', 'not identified'], 'emails': ['registrar@nameshield.net', 'gestiondns-adm@sgdsn.gouv.fr', 'gestiondns-tech@sgdsn.gouv.fr'], 'updated_date': datetime.datetime(2023, 10, 31, 22, 7, 51, 503871)}, True)"
https://www.ssi.gouv.fr/en/guide/ransomware-attacks-all-concerned/,3,CERTFR-2022-CTI-004.pdf,textlink,ssi.gouv.fr,True,,True,200,text/html; charset=UTF-8,"({'domain_name': 'ssi.gouv.fr', 'registrar': 'NAMESHIELD', 'creation_date': datetime.datetime(2000, 12, 7, 23, 0), 'expiration_date': datetime.datetime(2024, 10, 28, 8, 45, 1), 'name_servers': ['a.ns.developpement-durable.gouv.fr', 'b.ns.developpement-durable.gouv.fr', 'nsa.perf1.fr', 'nsb.perf1.com', 'nsc.perf1.com'], 'status': ['ACTIVE', 'active', 'associated', 'not identified'], 'emails': ['registrar@nameshield.net', 'gestiondns-adm@sgdsn.gouv.fr', 'gestiondns-tech@sgdsn.gouv.fr'], 'updated_date': datetime.datetime(2023, 10, 31, 22, 7, 51, 503871)}, True)"
operators.In,5,CERTFR-2022-CTI-004.pdf,textlink,operators.In,True,True,False,,,"({'domain_name': 'operators.in', 'registrar': 'Above.com Pty Ltd.', 'registrar_url': 'https://www.above.com', 'registrar_iana': '940', 'updated_date': datetime.datetime(2023, 3, 7, 0, 4, 35), 'creation_date': datetime.datetime(2009, 1, 25, 3, 36, 34), 'expiration_date': datetime.datetime(2024, 1, 25, 3, 36, 34), 'name_servers': ['ns2.bodis.com', 'ns1.bodis.com'], 'organization': None, 'state': 'Germany, Baden-Wuerttemberg', 'status': 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited', 'emails': None, 'country': 'DE', 'dnssec': 'unsigned'}, True)"
objective.As,7,CERTFR-2022-CTI-004.pdf,textlink,objective.As,False,,,,,
activity.In,7,CERTFR-2022-CTI-004.pdf,textlink,activity.In,False,,,,,
https://www.ssi.gouv.fr/administration/guide/guide-dhygiene-informatique/,11,CERTFR-2022-CTI-004.pdf,textlink,ssi.gouv.fr,True,,True,200,text/html; charset=UTF-8,"({'domain_name': 'ssi.gouv.fr', 'registrar': 'NAMESHIELD', 'creation_date': datetime.datetime(2000, 12, 7, 23, 0), 'expiration_date': datetime.datetime(2024, 10, 28, 8, 45, 1), 'name_servers': ['a.ns.developpement-durable.gouv.fr', 'b.ns.developpement-durable.gouv.fr', 'nsa.perf1.fr', 'nsb.perf1.com', 'nsc.perf1.com'], 'status': ['ACTIVE', 'active', 'associated', 'not identified'], 'emails': ['registrar@nameshield.net', 'gestiondns-tech@sgdsn.gouv.fr', 'gestiondns-adm@sgdsn.gouv.fr'], 'updated_date': datetime.datetime(2023, 10, 31, 22, 7, 51, 503871)}, True)"
https://www.cert.ssi.gouv.fr/actualite/CERTFR-2022-ACT-008/,11,CERTFR-2022-CTI-004.pdf,textlink,ssi.gouv.fr,True,,True,200,text/html,"({'domain_name': 'ssi.gouv.fr', 'registrar': 'NAMESHIELD', 'creation_date': datetime.datetime(2000, 12, 7, 23, 0), 'expiration_date': datetime.datetime(2024, 10, 28, 8, 45, 1), 'name_servers': ['a.ns.developpement-durable.gouv.fr', 'b.ns.developpement-durable.gouv.fr', 'nsa.perf1.fr', 'nsb.perf1.com', 'nsc.perf1.com'], 'status': ['ACTIVE', 'active', 'associated', 'not identified'], 'emails': ['registrar@nameshield.net', 'gestiondns-adm@sgdsn.gouv.fr', 'gestiondns-tech@sgdsn.gouv.fr'], 'updated_date': datetime.datetime(2023, 10, 31, 22, 7, 51, 503871)}, True)"
https://www.ssi.gouv.fr/en/guide/mapping-the-information-system/,11,CERTFR-2022-CTI-004.pdf,textlink,ssi.gouv.fr,True,,True,200,text/html; charset=UTF-8,"({'domain_name': 'ssi.gouv.fr', 'registrar': 'NAMESHIELD', 'creation_date': datetime.datetime(2000, 12, 7, 23, 0), 'expiration_date': datetime.datetime(2024, 10, 28, 8, 45, 1), 'name_servers': ['a.ns.developpement-durable.gouv.fr', 'b.ns.developpement-durable.gouv.fr', 'nsa.perf1.fr', 'nsb.perf1.com', 'nsc.perf1.com'], 'status': ['ACTIVE', 'active', 'associated', 'not identified'], 'emails': ['registrar@nameshield.net', 'gestiondns-tech@sgdsn.gouv.fr', 'gestiondns-adm@sgdsn.gouv.fr'], 'updated_date': datetime.datetime(2023, 10, 31, 22, 7, 51, 503871)}, True)"
circumventionmeasures.In,11,CERTFR-2022-CTI-004.pdf,textlink,circumventionmeasures.In,False,,,,,
