Links,Page,DocumentID,LinkType,Domain,valid_domain,valid_tld,http_request,http_code,mime_type,whois_info
https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/ad-hoc-working-group-cyber-threat-landscapes,1,ENISA Threat Landscape 2022.pdf,textlink,europa.eu,True,True,True,200,text/html;charset=utf-8,"({'domain_name': 'europa.eu', 'tech_name': None, 'tech_org': None, 'tech_phone': None, 'tech_fax': None, 'tech_email': None, 'registrar': 'Proximus nv/sa', 'registrar_url': 'https://www.proximus.be', 'name_servers': 'ns3lux.europa.eu (2a01:7080:24:101::2)\n        ns3lux.europa.eu (147.67.12.4)\n        ans1.cw.net\n        ns2lux.europa.eu (147.67.12.3)\n        ns2bru.europa.eu (147.67.250.3)\n        ns1.bt.net\n        ns4az1.europa.eu (54.154.94.36)\n        ns4az1.europa.eu (2a05:d018:c5f:3701:cc8a:9177:b28:c034)\n        ns3bru.europa.eu (147.67.250.4)\n        ns3bru.europa.eu (2a01:7080:14:101::2)\n        ns1bru.europa.eu (147.67.250.2)\n        ns1lux.europa.eu (147.67.12.2)\n        ans2.cw.net\n        ns2eu.bt.net\n\nKeys:\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAd6ILwCObzteZw4iDDFF5Ab0GGaEvtogmEvjNeZyjczgtq641zpu38BNDMmgRM6tDqoYtphAoqWjEUkI8XiTYW6go+VGtqY06VDdX5+Hl0l2YOAAxKUo6EYlB9nos5wzKD5FeEYaBP2UCmyzk1hZyfTIOcLXkZt1uUQF7l3MmQ1ETB38pOvbwxU0EQVKuG9YmKKogjW7Ujab4JFIVxqyN+Fxhh7isrceHce0ITryL8e64wVwX9GQNA3zLxK7XQvOJswv82ebYwsl8PmIRwi7hkpJMuz+oQe/i5E6xLpAXRfCDENrcHgXi9FbRmC9Vk9RVU82BpYfrsoNZSNSeRDrJl5iftwtacOpf+QvaI1je7O5cd0VwehjteT9Rfs0Gx27WlZ7KBw7ZurwLdosvNUjKzzvLpmUiKvEyicmgZ+5cGYSTAIdhcAri+mKVpN776qeF2v6fOSEtHFK/Bpu7HMO6FQ3e7KtFiQPMdYe6WSaXODA1EoVHX2IcSNhxnMuhvt7QUaPLVfs0kbzhd2XlZH56D07kLLNAsnwl6ZeBnoqbe/vlio8/HXzDFlPmWTTUqLbPNdx0kfqbQEmkc1IRHnB0upy6/Vve86K9cl4FBW2eYdWZprm2c+ZdEJXsVAGo3w4LutKFjHLweABS0y/BNQN0a0Ga8GVTzmKK9csklZRqj3d\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAfKX5A/wIWblwrXsFCDw8WSAZUaxRmB5tQSlhAiTVkPNwhgcCE5ockRYQey6kdPX6YyVw7fDIAZQjzg5efHoKXzvaRWMK1XC09NXrIrnIkLVE7c6twDnEJBAd61kGablPeKR8sVOOJ7yFiISioat+t5woQCozU9c9w8RNKKHFuhdlega9qsWxxqaRI36ok6cFmEEPpOtEatgL7JoG4hnHf5UqcNbVb08F3Em0W+7WfcpPKXpWs437Q2GydKRoxg6kwxI/pOtzNxQVS8DNEE4XMTqP3SwkUuVMeqKWUYzrIE9wzzmGRff/9xjAzhC76XfCr1KTmd3WnINMDE4rtDacJE=\n\nPlease visit www.eurid.eu for more info.'}, True)"
www.enisa.europa.eu,1,ENISA Threat Landscape 2022.pdf,textlink,europa.eu,True,True,False,,,"({'domain_name': 'europa.eu', 'tech_name': None, 'tech_org': None, 'tech_phone': None, 'tech_fax': None, 'tech_email': None, 'registrar': 'Proximus nv/sa', 'registrar_url': 'https://www.proximus.be', 'name_servers': 'ns2eu.bt.net\n        ns1bru.europa.eu (147.67.250.2)\n        ns3lux.europa.eu (2a01:7080:24:101::2)\n        ns3lux.europa.eu (147.67.12.4)\n        ns2lux.europa.eu (147.67.12.3)\n        ns2bru.europa.eu (147.67.250.3)\n        ns1lux.europa.eu (147.67.12.2)\n        ns4az1.europa.eu (2a05:d018:c5f:3701:cc8a:9177:b28:c034)\n        ns4az1.europa.eu (54.154.94.36)\n        ns3bru.europa.eu (147.67.250.4)\n        ns3bru.europa.eu (2a01:7080:14:101::2)\n        ans2.cw.net\n        ans1.cw.net\n        ns1.bt.net\n\nKeys:\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAd6ILwCObzteZw4iDDFF5Ab0GGaEvtogmEvjNeZyjczgtq641zpu38BNDMmgRM6tDqoYtphAoqWjEUkI8XiTYW6go+VGtqY06VDdX5+Hl0l2YOAAxKUo6EYlB9nos5wzKD5FeEYaBP2UCmyzk1hZyfTIOcLXkZt1uUQF7l3MmQ1ETB38pOvbwxU0EQVKuG9YmKKogjW7Ujab4JFIVxqyN+Fxhh7isrceHce0ITryL8e64wVwX9GQNA3zLxK7XQvOJswv82ebYwsl8PmIRwi7hkpJMuz+oQe/i5E6xLpAXRfCDENrcHgXi9FbRmC9Vk9RVU82BpYfrsoNZSNSeRDrJl5iftwtacOpf+QvaI1je7O5cd0VwehjteT9Rfs0Gx27WlZ7KBw7ZurwLdosvNUjKzzvLpmUiKvEyicmgZ+5cGYSTAIdhcAri+mKVpN776qeF2v6fOSEtHFK/Bpu7HMO6FQ3e7KtFiQPMdYe6WSaXODA1EoVHX2IcSNhxnMuhvt7QUaPLVfs0kbzhd2XlZH56D07kLLNAsnwl6ZeBnoqbe/vlio8/HXzDFlPmWTTUqLbPNdx0kfqbQEmkc1IRHnB0upy6/Vve86K9cl4FBW2eYdWZprm2c+ZdEJXsVAGo3w4LutKFjHLweABS0y/BNQN0a0Ga8GVTzmKK9csklZRqj3d\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAfKX5A/wIWblwrXsFCDw8WSAZUaxRmB5tQSlhAiTVkPNwhgcCE5ockRYQey6kdPX6YyVw7fDIAZQjzg5efHoKXzvaRWMK1XC09NXrIrnIkLVE7c6twDnEJBAd61kGablPeKR8sVOOJ7yFiISioat+t5woQCozU9c9w8RNKKHFuhdlega9qsWxxqaRI36ok6cFmEEPpOtEatgL7JoG4hnHf5UqcNbVb08F3Em0W+7WfcpPKXpWs437Q2GydKRoxg6kwxI/pOtzNxQVS8DNEE4XMTqP3SwkUuVMeqKWUYzrIE9wzzmGRff/9xjAzhC76XfCr1KTmd3WnINMDE4rtDacJE=\n\nPlease visit www.eurid.eu for more info.'}, True)"
http://www.enisa.europa.eu/,1,ENISA Threat Landscape 2022.pdf,hyperlink,europa.eu,True,True,True,200,text/html;charset=utf-8,"({'domain_name': 'europa.eu', 'tech_name': None, 'tech_org': None, 'tech_phone': None, 'tech_fax': None, 'tech_email': None, 'registrar': 'Proximus nv/sa', 'registrar_url': 'https://www.proximus.be', 'name_servers': 'ns1.bt.net\n        ns3bru.europa.eu (147.67.250.4)\n        ns3bru.europa.eu (2a01:7080:14:101::2)\n        ns4az1.europa.eu (54.154.94.36)\n        ns4az1.europa.eu (2a05:d018:c5f:3701:cc8a:9177:b28:c034)\n        ns1lux.europa.eu (147.67.12.2)\n        ns2eu.bt.net\n        ans2.cw.net\n        ns3lux.europa.eu (147.67.12.4)\n        ns3lux.europa.eu (2a01:7080:24:101::2)\n        ans1.cw.net\n        ns2bru.europa.eu (147.67.250.3)\n        ns1bru.europa.eu (147.67.250.2)\n        ns2lux.europa.eu (147.67.12.3)\n\nKeys:\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAd6ILwCObzteZw4iDDFF5Ab0GGaEvtogmEvjNeZyjczgtq641zpu38BNDMmgRM6tDqoYtphAoqWjEUkI8XiTYW6go+VGtqY06VDdX5+Hl0l2YOAAxKUo6EYlB9nos5wzKD5FeEYaBP2UCmyzk1hZyfTIOcLXkZt1uUQF7l3MmQ1ETB38pOvbwxU0EQVKuG9YmKKogjW7Ujab4JFIVxqyN+Fxhh7isrceHce0ITryL8e64wVwX9GQNA3zLxK7XQvOJswv82ebYwsl8PmIRwi7hkpJMuz+oQe/i5E6xLpAXRfCDENrcHgXi9FbRmC9Vk9RVU82BpYfrsoNZSNSeRDrJl5iftwtacOpf+QvaI1je7O5cd0VwehjteT9Rfs0Gx27WlZ7KBw7ZurwLdosvNUjKzzvLpmUiKvEyicmgZ+5cGYSTAIdhcAri+mKVpN776qeF2v6fOSEtHFK/Bpu7HMO6FQ3e7KtFiQPMdYe6WSaXODA1EoVHX2IcSNhxnMuhvt7QUaPLVfs0kbzhd2XlZH56D07kLLNAsnwl6ZeBnoqbe/vlio8/HXzDFlPmWTTUqLbPNdx0kfqbQEmkc1IRHnB0upy6/Vve86K9cl4FBW2eYdWZprm2c+ZdEJXsVAGo3w4LutKFjHLweABS0y/BNQN0a0Ga8GVTzmKK9csklZRqj3d\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAfKX5A/wIWblwrXsFCDw8WSAZUaxRmB5tQSlhAiTVkPNwhgcCE5ockRYQey6kdPX6YyVw7fDIAZQjzg5efHoKXzvaRWMK1XC09NXrIrnIkLVE7c6twDnEJBAd61kGablPeKR8sVOOJ7yFiISioat+t5woQCozU9c9w8RNKKHFuhdlega9qsWxxqaRI36ok6cFmEEPpOtEatgL7JoG4hnHf5UqcNbVb08F3Em0W+7WfcpPKXpWs437Q2GydKRoxg6kwxI/pOtzNxQVS8DNEE4XMTqP3SwkUuVMeqKWUYzrIE9wzzmGRff/9xjAzhC76XfCr1KTmd3WnINMDE4rtDacJE=\n\nPlease visit www.eurid.eu for more info.'}, True)"
mailto:etl@enisa.europa.eu,1,ENISA Threat Landscape 2022.pdf,hyperlink,europa.eu,True,True,False,,,"({'domain_name': 'europa.eu', 'tech_name': None, 'tech_org': None, 'tech_phone': None, 'tech_fax': None, 'tech_email': None, 'registrar': 'Proximus nv/sa', 'registrar_url': 'https://www.proximus.be', 'name_servers': 'ns1bru.europa.eu (147.67.250.2)\n        ns3bru.europa.eu (2a01:7080:14:101::2)\n        ns3bru.europa.eu (147.67.250.4)\n        ns1.bt.net\n        ns4az1.europa.eu (54.154.94.36)\n        ns4az1.europa.eu (2a05:d018:c5f:3701:cc8a:9177:b28:c034)\n        ns2bru.europa.eu (147.67.250.3)\n        ns2lux.europa.eu (147.67.12.3)\n        ns2eu.bt.net\n        ns1lux.europa.eu (147.67.12.2)\n        ans2.cw.net\n        ns3lux.europa.eu (147.67.12.4)\n        ns3lux.europa.eu (2a01:7080:24:101::2)\n        ans1.cw.net\n\nKeys:\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAd6ILwCObzteZw4iDDFF5Ab0GGaEvtogmEvjNeZyjczgtq641zpu38BNDMmgRM6tDqoYtphAoqWjEUkI8XiTYW6go+VGtqY06VDdX5+Hl0l2YOAAxKUo6EYlB9nos5wzKD5FeEYaBP2UCmyzk1hZyfTIOcLXkZt1uUQF7l3MmQ1ETB38pOvbwxU0EQVKuG9YmKKogjW7Ujab4JFIVxqyN+Fxhh7isrceHce0ITryL8e64wVwX9GQNA3zLxK7XQvOJswv82ebYwsl8PmIRwi7hkpJMuz+oQe/i5E6xLpAXRfCDENrcHgXi9FbRmC9Vk9RVU82BpYfrsoNZSNSeRDrJl5iftwtacOpf+QvaI1je7O5cd0VwehjteT9Rfs0Gx27WlZ7KBw7ZurwLdosvNUjKzzvLpmUiKvEyicmgZ+5cGYSTAIdhcAri+mKVpN776qeF2v6fOSEtHFK/Bpu7HMO6FQ3e7KtFiQPMdYe6WSaXODA1EoVHX2IcSNhxnMuhvt7QUaPLVfs0kbzhd2XlZH56D07kLLNAsnwl6ZeBnoqbe/vlio8/HXzDFlPmWTTUqLbPNdx0kfqbQEmkc1IRHnB0upy6/Vve86K9cl4FBW2eYdWZprm2c+ZdEJXsVAGo3w4LutKFjHLweABS0y/BNQN0a0Ga8GVTzmKK9csklZRqj3d\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAfKX5A/wIWblwrXsFCDw8WSAZUaxRmB5tQSlhAiTVkPNwhgcCE5ockRYQey6kdPX6YyVw7fDIAZQjzg5efHoKXzvaRWMK1XC09NXrIrnIkLVE7c6twDnEJBAd61kGablPeKR8sVOOJ7yFiISioat+t5woQCozU9c9w8RNKKHFuhdlega9qsWxxqaRI36ok6cFmEEPpOtEatgL7JoG4hnHf5UqcNbVb08F3Em0W+7WfcpPKXpWs437Q2GydKRoxg6kwxI/pOtzNxQVS8DNEE4XMTqP3SwkUuVMeqKWUYzrIE9wzzmGRff/9xjAzhC76XfCr1KTmd3WnINMDE4rtDacJE=\n\nPlease visit www.eurid.eu for more info.'}, True)"
mailto:press@enisa.europa.eu,1,ENISA Threat Landscape 2022.pdf,hyperlink,europa.eu,True,True,False,,,"({'domain_name': 'europa.eu', 'tech_name': None, 'tech_org': None, 'tech_phone': None, 'tech_fax': None, 'tech_email': None, 'registrar': 'Proximus nv/sa', 'registrar_url': 'https://www.proximus.be', 'name_servers': 'ns2lux.europa.eu (147.67.12.3)\n        ns1bru.europa.eu (147.67.250.2)\n        ans1.cw.net\n        ns1.bt.net\n        ns2bru.europa.eu (147.67.250.3)\n        ns3lux.europa.eu (147.67.12.4)\n        ns3lux.europa.eu (2a01:7080:24:101::2)\n        ans2.cw.net\n        ns3bru.europa.eu (147.67.250.4)\n        ns3bru.europa.eu (2a01:7080:14:101::2)\n        ns4az1.europa.eu (54.154.94.36)\n        ns4az1.europa.eu (2a05:d018:c5f:3701:cc8a:9177:b28:c034)\n        ns2eu.bt.net\n        ns1lux.europa.eu (147.67.12.2)\n\nKeys:\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAd6ILwCObzteZw4iDDFF5Ab0GGaEvtogmEvjNeZyjczgtq641zpu38BNDMmgRM6tDqoYtphAoqWjEUkI8XiTYW6go+VGtqY06VDdX5+Hl0l2YOAAxKUo6EYlB9nos5wzKD5FeEYaBP2UCmyzk1hZyfTIOcLXkZt1uUQF7l3MmQ1ETB38pOvbwxU0EQVKuG9YmKKogjW7Ujab4JFIVxqyN+Fxhh7isrceHce0ITryL8e64wVwX9GQNA3zLxK7XQvOJswv82ebYwsl8PmIRwi7hkpJMuz+oQe/i5E6xLpAXRfCDENrcHgXi9FbRmC9Vk9RVU82BpYfrsoNZSNSeRDrJl5iftwtacOpf+QvaI1je7O5cd0VwehjteT9Rfs0Gx27WlZ7KBw7ZurwLdosvNUjKzzvLpmUiKvEyicmgZ+5cGYSTAIdhcAri+mKVpN776qeF2v6fOSEtHFK/Bpu7HMO6FQ3e7KtFiQPMdYe6WSaXODA1EoVHX2IcSNhxnMuhvt7QUaPLVfs0kbzhd2XlZH56D07kLLNAsnwl6ZeBnoqbe/vlio8/HXzDFlPmWTTUqLbPNdx0kfqbQEmkc1IRHnB0upy6/Vve86K9cl4FBW2eYdWZprm2c+ZdEJXsVAGo3w4LutKFjHLweABS0y/BNQN0a0Ga8GVTzmKK9csklZRqj3d\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAfKX5A/wIWblwrXsFCDw8WSAZUaxRmB5tQSlhAiTVkPNwhgcCE5ockRYQey6kdPX6YyVw7fDIAZQjzg5efHoKXzvaRWMK1XC09NXrIrnIkLVE7c6twDnEJBAd61kGablPeKR8sVOOJ7yFiISioat+t5woQCozU9c9w8RNKKHFuhdlega9qsWxxqaRI36ok6cFmEEPpOtEatgL7JoG4hnHf5UqcNbVb08F3Em0W+7WfcpPKXpWs437Q2GydKRoxg6kwxI/pOtzNxQVS8DNEE4XMTqP3SwkUuVMeqKWUYzrIE9wzzmGRff/9xjAzhC76XfCr1KTmd3WnINMDE4rtDacJE=\n\nPlease visit www.eurid.eu for more info.'}, True)"
10.SUPPLY,3,ENISA Threat Landscape 2022.pdf,textlink,10.SUPPLY,False,,,,,
https://www.ria.ee/en/news/trends-and-challenges-cyber-security-q1-2022.html,4,ENISA Threat Landscape 2022.pdf,textlink,ria.ee,True,True,False,404,,"({'domain_name': 'ria.ee', 'status': 'ok (paid and in zone)', 'creation_date': datetime.datetime(2010, 7, 4, 4, 37, 43), 'updated_date': datetime.datetime(2022, 4, 24, 22, 5, 4), 'expiration_date': datetime.datetime(2024, 12, 16, 0, 0), 'registrar': 'Zone Media OÜ', 'name_servers': ['ans1.aso.ee', 'ans2.aso.ee', 'sec1.rcode0.net', 'sec2.rcode0.net']}, True)"
https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4Vwwd,4,ENISA Threat Landscape 2022.pdf,textlink,microsoft.com,True,True,True,200,application/pdf,"({'domain_name': ['MICROSOFT.COM', 'microsoft.com'], 'registrar': 'MarkMonitor, Inc.', 'whois_server': 'whois.markmonitor.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 8, 18, 16, 15, 54), 'creation_date': datetime.datetime(1991, 5, 2, 4, 0), 'expiration_date': [datetime.datetime(2025, 5, 3, 4, 0), datetime.datetime(2025, 5, 3, 0, 0)], 'name_servers': ['NS1-39.AZURE-DNS.COM', 'NS2-39.AZURE-DNS.NET', 'NS3-39.AZURE-DNS.ORG', 'NS4-39.AZURE-DNS.INFO', 'ns2-39.azure-dns.net', 'ns3-39.azure-dns.org', 'ns1-39.azure-dns.com', 'ns4-39.azure-dns.info'], 'status': ['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited', 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)', 'serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited)', 'serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited)', 'serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited)'], 'emails': ['abusecomplaints@markmonitor.com', 'admin@domains.microsoft', 'msnhst@microsoft.com', 'whoisrequest@markmonitor.com'], 'dnssec': 'unsigned', 'name': 'Domain Administrator', 'org': 'Microsoft Corporation', 'address': 'One Microsoft Way,', 'city': 'Redmond', 'state': 'WA', 'registrant_postal_code': '98052', 'country': 'US'}, True)"
https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/ad-hoc-working-group-cyber-threat-landscapes,7,ENISA Threat Landscape 2022.pdf,textlink,europa.eu,True,True,True,200,text/html;charset=utf-8,"({'domain_name': 'europa.eu', 'tech_name': None, 'tech_org': None, 'tech_phone': None, 'tech_fax': None, 'tech_email': None, 'registrar': 'Proximus nv/sa', 'registrar_url': 'https://www.proximus.be', 'name_servers': 'ns2lux.europa.eu (147.67.12.3)\n        ns4az1.europa.eu (54.154.94.36)\n        ns4az1.europa.eu (2a05:d018:c5f:3701:cc8a:9177:b28:c034)\n        ans1.cw.net\n        ns2bru.europa.eu (147.67.250.3)\n        ns1bru.europa.eu (147.67.250.2)\n        ns1lux.europa.eu (147.67.12.2)\n        ns3bru.europa.eu (147.67.250.4)\n        ns3bru.europa.eu (2a01:7080:14:101::2)\n        ans2.cw.net\n        ns2eu.bt.net\n        ns1.bt.net\n        ns3lux.europa.eu (2a01:7080:24:101::2)\n        ns3lux.europa.eu (147.67.12.4)\n\nKeys:\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAd6ILwCObzteZw4iDDFF5Ab0GGaEvtogmEvjNeZyjczgtq641zpu38BNDMmgRM6tDqoYtphAoqWjEUkI8XiTYW6go+VGtqY06VDdX5+Hl0l2YOAAxKUo6EYlB9nos5wzKD5FeEYaBP2UCmyzk1hZyfTIOcLXkZt1uUQF7l3MmQ1ETB38pOvbwxU0EQVKuG9YmKKogjW7Ujab4JFIVxqyN+Fxhh7isrceHce0ITryL8e64wVwX9GQNA3zLxK7XQvOJswv82ebYwsl8PmIRwi7hkpJMuz+oQe/i5E6xLpAXRfCDENrcHgXi9FbRmC9Vk9RVU82BpYfrsoNZSNSeRDrJl5iftwtacOpf+QvaI1je7O5cd0VwehjteT9Rfs0Gx27WlZ7KBw7ZurwLdosvNUjKzzvLpmUiKvEyicmgZ+5cGYSTAIdhcAri+mKVpN776qeF2v6fOSEtHFK/Bpu7HMO6FQ3e7KtFiQPMdYe6WSaXODA1EoVHX2IcSNhxnMuhvt7QUaPLVfs0kbzhd2XlZH56D07kLLNAsnwl6ZeBnoqbe/vlio8/HXzDFlPmWTTUqLbPNdx0kfqbQEmkc1IRHnB0upy6/Vve86K9cl4FBW2eYdWZprm2c+ZdEJXsVAGo3w4LutKFjHLweABS0y/BNQN0a0Ga8GVTzmKK9csklZRqj3d\n        flags:KSK protocol:3 algorithm:RSA_SHA256 pubKey:AwEAAfKX5A/wIWblwrXsFCDw8WSAZUaxRmB5tQSlhAiTVkPNwhgcCE5ockRYQey6kdPX6YyVw7fDIAZQjzg5efHoKXzvaRWMK1XC09NXrIrnIkLVE7c6twDnEJBAd61kGablPeKR8sVOOJ7yFiISioat+t5woQCozU9c9w8RNKKHFuhdlega9qsWxxqaRI36ok6cFmEEPpOtEatgL7JoG4hnHf5UqcNbVb08F3Em0W+7WfcpPKXpWs437Q2GydKRoxg6kwxI/pOtzNxQVS8DNEE4XMTqP3SwkUuVMeqKWUYzrIE9wzzmGRff/9xjAzhC76XfCr1KTmd3WnINMDE4rtDacJE=\n\nPlease visit www.eurid.eu for more info.'}, True)"
https://quointelligence.eu/2022/01/ransomware-and-other-cybersecurity-predictions-for-2022/,7,ENISA Threat Landscape 2022.pdf,textlink,quointelligence.eu,True,True,True,200,text/html; charset=UTF-8,"({'domain_name': 'quointelligence.eu', 'tech_name': None, 'tech_org': None, 'tech_phone': None, 'tech_fax': None, 'tech_email': None, 'registrar': 'Namecheap, Inc', 'registrar_url': 'http://www.namecheap.com', 'name_servers': 'harmony.ns.cloudflare.com\n        amit.ns.cloudflare.com\n\nPlease visit www.eurid.eu for more info.'}, True)"
