Links,Page,DocumentID,LinkType,Domain,valid_domain,valid_tld,http_request,http_code,mime_type,whois_info
https://www.fbi.gov/contact-us/field-offices,0,aa23-039a-esxiargs-ransomware-virtual-machine-recovery-guidance.pdf,hyperlink,fbi.gov,True,True,False,403,,"({'domain_name': 'fbi.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 3, 0, 38), 'creation_date': datetime.datetime(1997, 10, 2, 1, 29, 23), 'expiration_date': datetime.datetime(2025, 9, 7, 4, 0), 'name_servers': ['ns-cloud-e1.googledomains.com', 'ns-cloud-e2.googledomains.com', 'ns-cloud-e3.googledomains.com', 'ns-cloud-e4.googledomains.com'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
mailto:Report@cisa.gov,0,aa23-039a-esxiargs-ransomware-virtual-machine-recovery-guidance.pdf,hyperlink,cisa.gov,True,True,False,,,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://www.cisa.gov/tlp,0,aa23-039a-esxiargs-ransomware-virtual-machine-recovery-guidance.pdf,hyperlink,cisa.gov,True,True,True,200,text/html; charset=UTF-8,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://github.com/cisagov/ESXiArgs-Recover,0,aa23-039a-esxiargs-ransomware-virtual-machine-recovery-guidance.pdf,hyperlink,github.com,True,True,True,200,text/html; charset=utf-8,"({'domain_name': ['GITHUB.COM', 'github.com'], 'registrar': 'MarkMonitor, Inc.', 'whois_server': 'whois.markmonitor.com', 'referral_url': None, 'updated_date': datetime.datetime(2022, 9, 7, 9, 10, 44), 'creation_date': datetime.datetime(2007, 10, 9, 18, 20, 50), 'expiration_date': [datetime.datetime(2024, 10, 9, 18, 20, 50), datetime.datetime(2024, 10, 9, 0, 0)], 'name_servers': ['DNS1.P08.NSONE.NET', 'DNS2.P08.NSONE.NET', 'DNS3.P08.NSONE.NET', 'DNS4.P08.NSONE.NET', 'NS-1283.AWSDNS-32.ORG', 'NS-1707.AWSDNS-21.CO.UK', 'NS-421.AWSDNS-52.COM', 'NS-520.AWSDNS-01.NET', 'dns4.p08.nsone.net', 'dns1.p08.nsone.net', 'ns-1283.awsdns-32.org', 'ns-520.awsdns-01.net', 'ns-1707.awsdns-21.co.uk', 'dns2.p08.nsone.net', 'dns3.p08.nsone.net', 'ns-421.awsdns-52.com'], 'status': ['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)'], 'emails': ['abusecomplaints@markmonitor.com', 'whoisrequest@markmonitor.com'], 'dnssec': 'unsigned', 'name': None, 'org': 'GitHub, Inc.', 'address': None, 'city': None, 'state': 'CA', 'registrant_postal_code': None, 'country': 'US'}, True)"
https://raw.githubusercontent.com/cisagov/ESXiArgs-Recover/main/recover.sh,1,aa23-039a-esxiargs-ransomware-virtual-machine-recovery-guidance.pdf,textlink,githubusercontent.com,False,,,,,
https://github.com/cisagov/ESXiArgs-Recover/issues;,1,aa23-039a-esxiargs-ransomware-virtual-machine-recovery-guidance.pdf,textlink,github.com,True,True,False,404,,"({'domain_name': ['GITHUB.COM', 'github.com'], 'registrar': 'MarkMonitor, Inc.', 'whois_server': 'whois.markmonitor.com', 'referral_url': None, 'updated_date': datetime.datetime(2022, 9, 7, 9, 10, 44), 'creation_date': datetime.datetime(2007, 10, 9, 18, 20, 50), 'expiration_date': [datetime.datetime(2024, 10, 9, 18, 20, 50), datetime.datetime(2024, 10, 9, 0, 0)], 'name_servers': ['DNS1.P08.NSONE.NET', 'DNS2.P08.NSONE.NET', 'DNS3.P08.NSONE.NET', 'DNS4.P08.NSONE.NET', 'NS-1283.AWSDNS-32.ORG', 'NS-1707.AWSDNS-21.CO.UK', 'NS-421.AWSDNS-52.COM', 'NS-520.AWSDNS-01.NET', 'dns4.p08.nsone.net', 'dns1.p08.nsone.net', 'ns-1283.awsdns-32.org', 'ns-520.awsdns-01.net', 'ns-1707.awsdns-21.co.uk', 'dns2.p08.nsone.net', 'dns3.p08.nsone.net', 'ns-421.awsdns-52.com'], 'status': ['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)'], 'emails': ['abusecomplaints@markmonitor.com', 'whoisrequest@markmonitor.com'], 'dnssec': 'unsigned', 'name': None, 'org': 'GitHub, Inc.', 'address': None, 'city': None, 'state': 'CA', 'registrant_postal_code': None, 'country': 'US'}, True)"
cisa.gov/report,1,aa23-039a-esxiargs-ransomware-virtual-machine-recovery-guidance.pdf,textlink,cisa.gov,True,True,False,,,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://blogs.vmware.com/security/2023/02/83330.html,1,aa23-039a-esxiargs-ransomware-virtual-machine-recovery-guidance.pdf,hyperlink,vmware.com,True,True,False,403,,"({'domain_name': ['VMWARE.COM', 'vmware.com'], 'registrar': 'CSC CORPORATE DOMAINS, INC.', 'whois_server': 'whois.corporatedomains.com', 'referral_url': None, 'updated_date': [datetime.datetime(2021, 1, 25, 18, 46, 20), datetime.datetime(2021, 1, 25, 13, 46, 20)], 'creation_date': [datetime.datetime(1998, 1, 30, 5, 0), datetime.datetime(1998, 1, 30, 0, 0)], 'expiration_date': datetime.datetime(2030, 1, 29, 5, 0), 'name_servers': ['DNS1.P05.NSONE.NET', 'DNS2.P05.NSONE.NET', 'DNS3.P05.NSONE.NET', 'DNS4.P05.NSONE.NET', 'NS01.VMWDNS.COM', 'NS02.VMWDNS.COM', 'NS03.VMWDNS.COM', 'NS04.VMWDNS.COM', 'dns1.p05.nsone.net', 'ns01.vmwdns.com', 'dns3.p05.nsone.net', 'dns4.p05.nsone.net', 'ns03.vmwdns.com', 'ns04.vmwdns.com', 'ns02.vmwdns.com', 'dns2.p05.nsone.net'], 'status': ['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited', 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited', 'serverDeleteProhibited http://www.icann.org/epp#serverDeleteProhibited', 'serverTransferProhibited http://www.icann.org/epp#serverTransferProhibited', 'serverUpdateProhibited http://www.icann.org/epp#serverUpdateProhibited'], 'emails': ['domainabuse@cscglobal.com', 'domains@vmware.com'], 'dnssec': ['signedDelegation', 'unsigned'], 'name': 'Host Master', 'org': 'VMware, Inc.', 'address': '3401 Hillview Ave', 'city': 'Palo Alto', 'state': 'CA', 'registrant_postal_code': '94304', 'country': 'US'}, True)"
https://www.fbi.gov/contact-us/field-offices,1,aa23-039a-esxiargs-ransomware-virtual-machine-recovery-guidance.pdf,hyperlink,fbi.gov,True,True,False,403,,"({'domain_name': 'fbi.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 3, 0, 38), 'creation_date': datetime.datetime(1997, 10, 2, 1, 29, 23), 'expiration_date': datetime.datetime(2025, 9, 7, 4, 0), 'name_servers': ['ns-cloud-e1.googledomains.com', 'ns-cloud-e2.googledomains.com', 'ns-cloud-e3.googledomains.com', 'ns-cloud-e4.googledomains.com'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://enes.dev/,1,aa23-039a-esxiargs-ransomware-virtual-machine-recovery-guidance.pdf,hyperlink,enes.dev,True,True,True,200,text/html; charset=UTF-8,"({'domain_name': 'enes.dev', 'registrar': 'Squarespace Domains II LLC', 'whois_server': 'whois.google.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 4, 14, 16, 0), 'creation_date': datetime.datetime(2019, 2, 28, 16, 0), 'expiration_date': datetime.datetime(2024, 2, 28, 16, 0), 'name_servers': ['ns1.enes.dev', 'ns2.enes.dev'], 'status': ['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited'], 'emails': ['registrar-abuse@google.com', 'abuse-complaints@squarespace.com'], 'dnssec': 'unsigned', 'name': ['REDACTED FOR PRIVACY', 'Contact Privacy Inc. Customer 7151571251'], 'org': 'Contact Privacy Inc. Customer 7151571251', 'address': ['REDACTED FOR PRIVACY', '96 Mowat Ave'], 'city': ['REDACTED FOR PRIVACY', 'Toronto'], 'state': 'ON', 'registrant_postal_code': ['REDACTED FOR PRIVACY', 'M4K 3K1'], 'country': 'CA'}, True)"
