Links,Page,DocumentID,LinkType,Domain,valid_domain,valid_tld,http_request,http_code,mime_type,whois_info
mailto:report@cisa.gov,0,aa23-059a-cisa_red_team_shares_key_findings_to_improve_monitoring_and_hardening_of_networks_1.pdf,hyperlink,cisa.gov,True,True,False,,,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://www.cisa.gov/tlp,0,aa23-059a-cisa_red_team_shares_key_findings_to_improve_monitoring_and_hardening_of_networks_1.pdf,hyperlink,cisa.gov,True,True,True,200,text/html; charset=UTF-8,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://www.cisa.gov/sites/default/files/publications/fact-sheet-implementing-phishing-resistant-mfa-508c.pdf,0,aa23-059a-cisa_red_team_shares_key_findings_to_improve_monitoring_and_hardening_of_networks_1.pdf,hyperlink,cisa.gov,True,True,True,200,application/pdf,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://attack.mitre.org/versions/v12/matrices/enterprise/,1,aa23-059a-cisa_red_team_shares_key_findings_to_improve_monitoring_and_hardening_of_networks_1.pdf,hyperlink,mitre.org,True,True,True,200,text/html; charset=utf-8,"({'domain_name': ['mitre.org', 'MITRE.ORG'], 'registrar': 'NETWORK SOLUTIONS, LLC.', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': [datetime.datetime(2023, 9, 26, 18, 1, 11), datetime.datetime(2019, 10, 16, 12, 37, 18)], 'creation_date': [datetime.datetime(1985, 7, 10, 4, 0), datetime.datetime(2002, 9, 18, 18, 44, 10)], 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org', 'DNS-EXT-BEDFORD.MITRE.ORG', 'DNS-EXT-MCLEAN.MITRE.ORG'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': ['domain.operations@web.com', 'hostmaster@MITRE.ORG'], 'dnssec': ['signedDelegation', 'Unsigned'], 'name': ['REDACTED FOR PRIVACY', 'The MITRE Corporation'], 'org': 'The MITRE Corporation', 'address': ['REDACTED FOR PRIVACY', '202 BURLINGTON RD'], 'city': ['REDACTED FOR PRIVACY', 'BEDFORD'], 'state': 'MA', 'registrant_postal_code': ['REDACTED FOR PRIVACY', '01730-1407'], 'country': 'US'}, True)"
https://attack.mitre.org/versions/v12/tactics/TA0001/,2,aa23-059a-cisa_red_team_shares_key_findings_to_improve_monitoring_and_hardening_of_networks_1.pdf,hyperlink,mitre.org,True,True,True,200,text/html; charset=utf-8,"({'domain_name': ['mitre.org', 'MITRE.ORG'], 'registrar': 'NETWORK SOLUTIONS, LLC.', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': [datetime.datetime(2023, 9, 26, 18, 1, 11), datetime.datetime(2019, 10, 16, 12, 37, 18)], 'creation_date': [datetime.datetime(1985, 7, 10, 4, 0), datetime.datetime(2002, 9, 18, 18, 44, 10)], 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org', 'DNS-EXT-BEDFORD.MITRE.ORG', 'DNS-EXT-MCLEAN.MITRE.ORG'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': ['domain.operations@web.com', 'hostmaster@MITRE.ORG'], 'dnssec': ['signedDelegation', 'Unsigned'], 'name': ['REDACTED FOR PRIVACY', 'The MITRE Corporation'], 'org': 'The MITRE Corporation', 'address': ['REDACTED FOR PRIVACY', '202 BURLINGTON RD'], 'city': ['REDACTED FOR PRIVACY', 'BEDFORD'], 'state': 'MA', 'registrant_postal_code': ['REDACTED FOR PRIVACY', '01730-1407'], 'country': 'US'}, True)"
https://attack.mitre.org/versions/v12/tactics/TA0043/,2,aa23-059a-cisa_red_team_shares_key_findings_to_improve_monitoring_and_hardening_of_networks_1.pdf,hyperlink,mitre.org,True,True,True,200,text/html; charset=utf-8,"({'domain_name': ['mitre.org', 'MITRE.ORG'], 'registrar': 'NETWORK SOLUTIONS, LLC.', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': [datetime.datetime(2023, 9, 26, 18, 1, 11), datetime.datetime(2019, 10, 16, 12, 37, 18)], 'creation_date': [datetime.datetime(1985, 7, 10, 4, 0), datetime.datetime(2002, 9, 18, 18, 44, 10)], 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org', 'DNS-EXT-BEDFORD.MITRE.ORG', 'DNS-EXT-MCLEAN.MITRE.ORG'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': ['domain.operations@web.com', 'hostmaster@MITRE.ORG'], 'dnssec': ['signedDelegation', 'Unsigned'], 'name': ['REDACTED FOR PRIVACY', 'The MITRE Corporation'], 'org': 'The MITRE Corporation', 'address': ['REDACTED FOR PRIVACY', '202 BURLINGTON RD'], 'city': ['REDACTED FOR PRIVACY', 'BEDFORD'], 'state': 'MA', 'registrant_postal_code': ['REDACTED FOR PRIVACY', '01730-1407'], 'country': 'US'}, True)"
https://attack.mitre.org/versions/v12/techniques/T1589/002/,2,aa23-059a-cisa_red_team_shares_key_findings_to_improve_monitoring_and_hardening_of_networks_1.pdf,hyperlink,mitre.org,True,True,True,200,text/html; charset=utf-8,"({'domain_name': ['mitre.org', 'MITRE.ORG'], 'registrar': 'NETWORK SOLUTIONS, LLC.', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': [datetime.datetime(2023, 9, 26, 18, 1, 11), datetime.datetime(2019, 10, 16, 12, 37, 18)], 'creation_date': [datetime.datetime(1985, 7, 10, 4, 0), datetime.datetime(2002, 9, 18, 18, 44, 10)], 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org', 'DNS-EXT-BEDFORD.MITRE.ORG', 'DNS-EXT-MCLEAN.MITRE.ORG'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': ['domain.operations@web.com', 'hostmaster@MITRE.ORG'], 'dnssec': ['signedDelegation', 'Unsigned'], 'name': ['REDACTED FOR PRIVACY', 'The MITRE Corporation'], 'org': 'The MITRE Corporation', 'address': ['REDACTED FOR PRIVACY', '202 BURLINGTON RD'], 'city': ['REDACTED FOR PRIVACY', 'BEDFORD'], 'state': 'MA', 'registrant_postal_code': ['REDACTED FOR PRIVACY', '01730-1407'], 'country': 'US'}, True)"
https://attack.mitre.org/versions/v12/techniques/T1589/003/,2,aa23-059a-cisa_red_team_shares_key_findings_to_improve_monitoring_and_hardening_of_networks_1.pdf,hyperlink,mitre.org,True,True,True,200,text/html; charset=utf-8,"({'domain_name': ['mitre.org', 'MITRE.ORG'], 'registrar': 'NETWORK SOLUTIONS, LLC.', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': [datetime.datetime(2023, 9, 26, 18, 1, 11), datetime.datetime(2019, 10, 16, 12, 37, 18)], 'creation_date': [datetime.datetime(1985, 7, 10, 4, 0), datetime.datetime(2002, 9, 18, 18, 44, 10)], 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org', 'DNS-EXT-BEDFORD.MITRE.ORG', 'DNS-EXT-MCLEAN.MITRE.ORG'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': ['domain.operations@web.com', 'hostmaster@MITRE.ORG'], 'dnssec': ['signedDelegation', 'Unsigned'], 'name': ['REDACTED FOR PRIVACY', 'The MITRE Corporation'], 'org': 'The MITRE Corporation', 'address': ['REDACTED FOR PRIVACY', '202 BURLINGTON RD'], 'city': ['REDACTED FOR PRIVACY', 'BEDFORD'], 'state': 'MA', 'registrant_postal_code': ['REDACTED FOR PRIVACY', '01730-1407'], 'country': 'US'}, True)"
https://attack.mitre.org/versions/v12/techniques/T1585/002/,2,aa23-059a-cisa_red_team_shares_key_findings_to_improve_monitoring_and_hardening_of_networks_1.pdf,hyperlink,mitre.org,True,True,True,200,text/html; charset=utf-8,"({'domain_name': ['mitre.org', 'MITRE.ORG'], 'registrar': 'NETWORK SOLUTIONS, LLC.', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': [datetime.datetime(2023, 9, 26, 18, 1, 11), datetime.datetime(2019, 10, 16, 12, 37, 18)], 'creation_date': [datetime.datetime(1985, 7, 10, 4, 0), datetime.datetime(2002, 9, 18, 18, 44, 10)], 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org', 'DNS-EXT-BEDFORD.MITRE.ORG', 'DNS-EXT-MCLEAN.MITRE.ORG'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': ['domain.operations@web.com', 'hostmaster@MITRE.ORG'], 'dnssec': ['signedDelegation', 'Unsigned'], 'name': ['REDACTED FOR PRIVACY', 'The MITRE Corporation'], 'org': 'The MITRE Corporation', 'address': ['REDACTED FOR PRIVACY', '202 BURLINGTON RD'], 'city': ['REDACTED FOR PRIVACY', 'BEDFORD'], 'state': 'MA', 'registrant_postal_code': ['REDACTED FOR PRIVACY', '01730-1407'], 'country': 'US'}, True)"
https://attack.mitre.org/versions/v12/techniques/T1566/002/,2,aa23-059a-cisa_red_team_shares_key_findings_to_improve_monitoring_and_hardening_of_networks_1.pdf,hyperlink,mitre.org,True,True,True,200,text/html; charset=utf-8,"({'domain_name': ['mitre.org', 'MITRE.ORG'], 'registrar': 'NETWORK SOLUTIONS, LLC.', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': [datetime.datetime(2023, 9, 26, 18, 1, 11), datetime.datetime(2019, 10, 16, 12, 37, 18)], 'creation_date': [datetime.datetime(1985, 7, 10, 4, 0), datetime.datetime(2002, 9, 18, 18, 44, 10)], 'expiration_date': datetime.datetime(2024, 7, 9, 4, 0), 'name_servers': ['dns-ext-bedford.mitre.org', 'dns-ext-mclean.mitre.org', 'DNS-EXT-BEDFORD.MITRE.ORG', 'DNS-EXT-MCLEAN.MITRE.ORG'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': ['domain.operations@web.com', 'hostmaster@MITRE.ORG'], 'dnssec': ['signedDelegation', 'Unsigned'], 'name': ['REDACTED FOR PRIVACY', 'The MITRE Corporation'], 'org': 'The MITRE Corporation', 'address': ['REDACTED FOR PRIVACY', '202 BURLINGTON RD'], 'city': ['REDACTED FOR PRIVACY', 'BEDFORD'], 'state': 'MA', 'registrant_postal_code': ['REDACTED FOR PRIVACY', '01730-1407'], 'country': 'US'}, True)"
