Links,Page,DocumentID,LinkType,Domain,valid_domain,valid_tld,http_request,http_code,mime_type,whois_info
https://www.fbi.gov/contact-us/field-offices,0,aa23-187a-increased-truebot-activity-infects-us-and-canada-based-networks_2.pdf,hyperlink,fbi.gov,True,True,False,403,,"({'domain_name': 'fbi.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 3, 0, 38), 'creation_date': datetime.datetime(1997, 10, 2, 1, 29, 23), 'expiration_date': datetime.datetime(2025, 9, 7, 4, 0), 'name_servers': ['ns-cloud-e1.googledomains.com', 'ns-cloud-e2.googledomains.com', 'ns-cloud-e3.googledomains.com', 'ns-cloud-e4.googledomains.com'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
mailto:Report@cisa.gov,0,aa23-187a-increased-truebot-activity-infects-us-and-canada-based-networks_2.pdf,hyperlink,cisa.gov,True,True,False,,,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
mailto:SOC@cisecurity.org,0,aa23-187a-increased-truebot-activity-infects-us-and-canada-based-networks_2.pdf,hyperlink,cisecurity.org,True,True,False,,,"({'domain_name': 'cisecurity.org', 'registrar': 'Network Solutions, LLC', 'whois_server': 'whois.networksolutions.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 8, 28, 6, 21, 49), 'creation_date': datetime.datetime(2000, 10, 23, 2, 41, 58), 'expiration_date': datetime.datetime(2028, 10, 23, 2, 41, 58), 'name_servers': ['ns1.edgewebhosting.net', 'ns2.edgewebhosting.net'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'domain.operations@web.com', 'dnssec': 'unsigned', 'name': 'REDACTED FOR PRIVACY', 'org': None, 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'FL', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'US'}, True)"
https://www.cisa.gov/tlp,0,aa23-187a-increased-truebot-activity-infects-us-and-canada-based-networks_2.pdf,hyperlink,cisa.gov,True,True,True,200,text/html; charset=UTF-8,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://malpedia.caad.fkie.fraunhofer.de/details/win.silence,0,aa23-187a-increased-truebot-activity-infects-us-and-canada-based-networks_2.pdf,hyperlink,fraunhofer.de,True,True,True,200,text/html; charset=utf-8,"({'domain_name': 'fraunhofer.de', 'status': 'connect', 'updated_date': datetime.datetime(2023, 9, 11, 11, 7, 31), 'name': None, 'org': None, 'address': None, 'registrant_postal_code': None, 'city': None, 'country_code': None, 'phone': None, 'fax': None, 'name_servers': ['ns1.fraunhofer.de 192.44.37.1 2a03:db80:3004:d212:0:0:53:1', 'ns2.fraunhofer.de 153.96.1.1 2a03:db80:4420:b000:0:0:53:1', 'ns3.fraunhofer.de 153.96.87.2 2a03:db80:0:d200:0:0:53:1', 'ns5.fraunhofer.de 192.102.167.2 2a03:db80:1504:d267:0:0:53:1'], 'emails': None}, True)"
https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a,0,aa23-187a-increased-truebot-activity-infects-us-and-canada-based-networks_2.pdf,hyperlink,cisa.gov,True,True,True,200,text/html; charset=UTF-8,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://nvd.nist.gov/vuln/detail/CVE-2022-31199,0,aa23-187a-increased-truebot-activity-infects-us-and-canada-based-networks_2.pdf,hyperlink,nist.gov,True,True,True,200,text/html;charset=UTF-8,"({'domain_name': 'nist.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 3, 16, 20), 'creation_date': datetime.datetime(1997, 10, 2, 1, 29, 27), 'expiration_date': datetime.datetime(2025, 9, 23, 14, 27, 56), 'name_servers': ['a1-216.akam.net', 'a12-65.akam.net', 'a13-67.akam.net', 'a4-64.akam.net', 'a6-66.akam.net', 'a7-67.akam.net', 'bea.nist.gov', 'gea.nist.gov'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://bishopfox.com/blog/netwrix-auditor-advisory,0,aa23-187a-increased-truebot-activity-infects-us-and-canada-based-networks_2.pdf,hyperlink,bishopfox.com,True,True,True,200,text/html; charset=UTF-8,"({'domain_name': 'BISHOPFOX.COM', 'registrar': 'NameCheap, Inc.', 'whois_server': 'whois.namecheap.com', 'referral_url': None, 'updated_date': datetime.datetime(2023, 10, 1, 5, 56), 'creation_date': datetime.datetime(2012, 10, 31, 20, 25, 30), 'expiration_date': datetime.datetime(2024, 10, 31, 20, 25, 30), 'name_servers': ['IRIS.NS.CLOUDFLARE.COM', 'TIM.NS.CLOUDFLARE.COM'], 'status': 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'emails': 'abuse@namecheap.com', 'dnssec': 'unsigned', 'name': None, 'org': None, 'address': None, 'city': None, 'state': None, 'registrant_postal_code': None, 'country': None}, True)"
https://www.cisa.gov/news-events/analysis-reports/ar23-187a,1,aa23-187a-increased-truebot-activity-infects-us-and-canada-based-networks_2.pdf,hyperlink,cisa.gov,True,True,True,200,text/html; charset=UTF-8,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://www.cisa.gov/sites/default/files/2023-07/AA23-187A.stix_.xml,1,aa23-187a-increased-truebot-activity-infects-us-and-canada-based-networks_2.pdf,hyperlink,cisa.gov,True,True,True,200,text/xml,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
