Links,Page,DocumentID,LinkType,Domain,valid_domain,valid_tld,http_request,http_code,mime_type,whois_info
Hub.https://www.ncsc.gov.uk/report/threat-report-24th-march-20231/2,0,threat-report-24th-march-2023.pdf,textlink,ncsc.gov.uk,True,,False,,,"({'domain_name': 'gov.uk', 'registrar': 'No registrar listed.  This domain is directly registered with Nominet.', 'registrar_url': None, 'status': 'No registration status listed.', 'registrant_name': 'UK Cabinet Office', 'registrant_type': 'UK Government Body', 'registrant_street': '10 Whitechapel High Street', 'registrant_city': 'London', 'registrant_country': 'GB', 'creation_date': datetime.datetime(1996, 8, 1, 0, 0), 'expiration_date': None, 'updated_date': None, 'name_servers': 'ns0.ja.net.'}, True)"
https://www.ncsc.gov.uk/report/threat-report-24th-march-20231/2,0,threat-report-24th-march-2023.pdf,textlink,ncsc.gov.uk,True,,False,404,,"({'domain_name': 'gov.uk', 'registrar': 'No registrar listed.  This domain is directly registered with Nominet.', 'registrar_url': None, 'status': 'No registration status listed.', 'registrant_name': 'UK Cabinet Office', 'registrant_type': 'UK Government Body', 'registrant_street': '10 Whitechapel High Street', 'registrant_city': 'London', 'registrant_country': 'GB', 'creation_date': datetime.datetime(1996, 8, 1, 0, 0), 'expiration_date': None, 'updated_date': None, 'name_servers': 'ns0.ja.net.'}, True)"
NCSC.GOV.UK,0,threat-report-24th-march-2023.pdf,textlink,NCSC.GOV.UK,True,,False,,,"({'domain_name': 'gov.uk', 'registrar': 'No registrar listed.  This domain is directly registered with Nominet.', 'registrar_url': None, 'status': 'No registration status listed.', 'registrant_name': 'UK Cabinet Office', 'registrant_type': 'UK Government Body', 'registrant_street': '10 Whitechapel High Street', 'registrant_city': 'London', 'registrant_country': 'GB', 'creation_date': datetime.datetime(1996, 8, 1, 0, 0), 'expiration_date': None, 'updated_date': None, 'name_servers': 'ns0.ja.net.'}, True)"
https://www.mandiant.com/resources/blog/fortinet-malware-ecosystem,0,threat-report-24th-march-2023.pdf,hyperlink,mandiant.com,True,True,True,200,text/html; charset=UTF-8,"({'domain_name': ['MANDIANT.COM', 'mandiant.com'], 'registrar': 'MarkMonitor, Inc.', 'whois_server': 'whois.markmonitor.com', 'referral_url': None, 'updated_date': [datetime.datetime(2022, 11, 21, 15, 52, 5), datetime.datetime(2022, 11, 21, 15, 37, 31)], 'creation_date': datetime.datetime(2005, 12, 22, 21, 13, 6), 'expiration_date': datetime.datetime(2026, 12, 22, 21, 13, 6), 'name_servers': ['JADE.NS.CLOUDFLARE.COM', 'JOEL.NS.CLOUDFLARE.COM', 'jade.ns.cloudflare.com', 'joel.ns.cloudflare.com'], 'status': ['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited', 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)', 'serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited)', 'serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited)', 'serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited)'], 'emails': ['abusecomplaints@markmonitor.com', 'whoisrequest@markmonitor.com'], 'dnssec': 'signedDelegation', 'name': None, 'org': 'Google LLC', 'address': None, 'city': None, 'state': 'CA', 'registrant_postal_code': None, 'country': 'US'}, True)"
https://www.cisa.gov/stopransomware/Ransomware-Vulnerability-Warning-Pilot,0,threat-report-24th-march-2023.pdf,hyperlink,cisa.gov,True,True,True,200,text/html; charset=UTF-8,"({'domain_name': 'cisa.gov', 'registrar': 'Cybersecurity and Infrastructure Security Agency', 'whois_server': 'whois.cloudflareregistry.com', 'referral_url': None, 'updated_date': datetime.datetime(2024, 1, 8, 2, 53, 56), 'creation_date': datetime.datetime(2018, 12, 6, 15, 30, 8), 'expiration_date': datetime.datetime(2024, 12, 6, 15, 30, 8), 'name_servers': ['a1-91.akam.net', 'a16-67.akam.net', 'a22-66.akam.net', 'a7-64.akam.net', 'a8-65.akam.net', 'a9-66.akam.net'], 'status': 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'emails': None, 'dnssec': 'signedDelegation', 'name': 'REDACTED FOR PRIVACY', 'org': 'REDACTED FOR PRIVACY', 'address': 'REDACTED FOR PRIVACY', 'city': 'REDACTED FOR PRIVACY', 'state': 'REDACTED FOR PRIVACY', 'registrant_postal_code': 'REDACTED FOR PRIVACY', 'country': 'REDACTED FOR PRIVACY'}, True)"
https://www.ncsc.gov.uk/section/private-sector-cni/cni,0,threat-report-24th-march-2023.pdf,hyperlink,ncsc.gov.uk,True,,True,200,text/html,"({'domain_name': 'gov.uk', 'registrar': 'No registrar listed.  This domain is directly registered with Nominet.', 'registrar_url': None, 'status': 'No registration status listed.', 'registrant_name': 'UK Cabinet Office', 'registrant_type': 'UK Government Body', 'registrant_street': '10 Whitechapel High Street', 'registrant_city': 'London', 'registrant_country': 'GB', 'creation_date': datetime.datetime(1996, 8, 1, 0, 0), 'expiration_date': None, 'updated_date': None, 'name_servers': 'ns0.ja.net.'}, True)"
https://www.ncsc.gov.uk/report/threat-report-24th-march-20232/2,1,threat-report-24th-march-2023.pdf,textlink,ncsc.gov.uk,True,,False,404,,"({'domain_name': 'gov.uk', 'registrar': 'No registrar listed.  This domain is directly registered with Nominet.', 'registrar_url': None, 'status': 'No registration status listed.', 'registrant_name': 'UK Cabinet Office', 'registrant_type': 'UK Government Body', 'registrant_street': '10 Whitechapel High Street', 'registrant_city': 'London', 'registrant_country': 'GB', 'creation_date': datetime.datetime(1996, 8, 1, 0, 0), 'expiration_date': None, 'updated_date': None, 'name_servers': 'ns0.ja.net.'}, True)"
NCSC.GOV.UK,1,threat-report-24th-march-2023.pdf,textlink,NCSC.GOV.UK,True,,False,,,"({'domain_name': 'gov.uk', 'registrar': 'No registrar listed.  This domain is directly registered with Nominet.', 'registrar_url': None, 'status': 'No registration status listed.', 'registrant_name': 'UK Cabinet Office', 'registrant_type': 'UK Government Body', 'registrant_street': '10 Whitechapel High Street', 'registrant_city': 'London', 'registrant_country': 'GB', 'creation_date': datetime.datetime(1996, 8, 1, 0, 0), 'expiration_date': None, 'updated_date': None, 'name_servers': 'ns0.ja.net.'}, True)"
https://www.akamai.com/blog/security/a-deep-dive-on-malicious-dns-traffic,1,threat-report-24th-march-2023.pdf,hyperlink,akamai.com,True,True,False,,,"({'domain_name': ['AKAMAI.COM', 'akamai.com'], 'registrar': 'MarkMonitor, Inc.', 'whois_server': 'whois.markmonitor.com', 'referral_url': None, 'updated_date': [datetime.datetime(2022, 4, 11, 16, 44, 20), datetime.datetime(2022, 4, 11, 18, 10, 46)], 'creation_date': datetime.datetime(1998, 8, 17, 4, 0), 'expiration_date': datetime.datetime(2024, 8, 16, 4, 0), 'name_servers': ['A1-66.AKAM.NET', 'A11-66.AKAM.NET', 'A12-66.AKAM.NET', 'A13-66.AKAM.NET', 'A16-66.AKAM.NET', 'A18-66.AKAM.NET', 'A28-66.AKAM.NET', 'A3-66.AKAM.NET', 'A5-66.AKAM.NET', 'A6-66.AKAM.NET', 'A7-66.AKAM.NET', 'A8-66.AKAM.NET', 'A9-66.AKAM.NET', 'a3-66.akam.net', 'a28-66.akam.net', 'a9-66.akam.net', 'a18-66.akam.net', 'a1-66.akam.net', 'a5-66.akam.net', 'a12-66.akam.net', 'a8-66.akam.net', 'a11-66.akam.net', 'a13-66.akam.net', 'a16-66.akam.net', 'a7-66.akam.net', 'a6-66.akam.net'], 'status': ['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited', 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)', 'serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited)', 'serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited)', 'serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited)'], 'emails': ['abusecomplaints@markmonitor.com', 'whoisrequest@markmonitor.com'], 'dnssec': 'signedDelegation', 'name': None, 'org': 'Akamai Technologies, Inc.', 'address': None, 'city': None, 'state': 'MA', 'registrant_postal_code': None, 'country': 'US'}, True)"
https://www.ncsc.gov.uk/guidance/protective-dns-for-private-sector,1,threat-report-24th-march-2023.pdf,hyperlink,ncsc.gov.uk,True,,True,200,text/html,"({'domain_name': 'gov.uk', 'registrar': 'No registrar listed.  This domain is directly registered with Nominet.', 'registrar_url': None, 'status': 'No registration status listed.', 'registrant_name': 'UK Cabinet Office', 'registrant_type': 'UK Government Body', 'registrant_street': '10 Whitechapel High Street', 'registrant_city': 'London', 'registrant_country': 'GB', 'creation_date': datetime.datetime(1996, 8, 1, 0, 0), 'expiration_date': None, 'updated_date': None, 'name_servers': 'ns0.ja.net.'}, True)"
